DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
LIBERTY-EYLAU ISD,4,2131,60,30,10,62,35,13,62,57,23,8,62,31,9,60,32,12,53,24,8,67,33,10,74,41,14,78,61,13,-1,-1,-1,0,0,0,61,37,15,57,27,9
SIMMS ISD,3,473,86,54,24,85,60,27,83,88,50,24,83,51,20,84,48,20,-1,-1,-1,78,48,15,87,55,24,,,,-1,-1,-1,,,,77,41,18,83,46,21
MALTA ISD,1,208,92,56,25,96,62,34,88,89,57,17,88,38,21,,,,-1,-1,-1,92,67,17,93,56,26,-1,-1,-1,,,,,,,86,71,29,91,54,18
RED LICK ISD,2,500,94,71,41,95,79,54,87,95,68,32,87,66,31,87,44,23,53,47,27,100,100,28,94,71,41,-1,-1,-1,100,75,38,,,,95,63,53,83,59,37
PLEASANT GROVE ISD,4,2313,90,68,37,90,74,42,93,91,66,35,93,65,33,83,59,37,79,46,17,90,64,35,94,75,43,81,50,25,85,72,44,-1,-1,-1,84,53,23,83,54,26
HUBBARD ISD,1,69,80,56,26,79,62,32,73,85,56,24,73,64,18,67,17,17,,,,68,32,4,86,68,37,,,,,,,,,,,,,72,42,19
LEARY ISD,1,105,76,43,16,95,73,27,67,62,24,11,67,22,0,60,0,0,63,38,38,90,62,19,72,40,14,,,,,,,,,,78,22,0,75,43,15
ALVIN ISD,31,27955,77,51,25,78,56,27,81,74,44,21,81,53,24,75,50,30,74,45,19,72,43,18,82,59,31,75,44,20,95,82,56,63,30,9,83,61,32,68,39,15
ANGLETON ISD,11,6748,78,51,23,80,57,26,81,77,45,20,81,52,24,71,46,24,70,44,16,76,47,20,83,59,31,82,51,18,89,74,57,100,50,17,80,50,29,75,47,20
DANBURY ISD,3,772,81,51,21,81,58,24,80,80,40,17,80,45,15,87,63,33,-1,-1,-1,76,45,15,82,52,23,-1,-1,-1,-1,-1,-1,,,,84,52,32,74,42,15
BRAZOSPORT ISD,20,11451,74,47,21,74,50,23,74,77,47,22,74,43,16,70,40,20,58,29,10,72,42,17,83,59,30,77,45,23,89,76,43,80,60,50,71,42,19,70,41,17
SWEENY ISD,3,1851,75,48,20,76,53,23,82,71,40,14,82,52,19,76,49,28,64,35,13,74,47,18,77,51,22,-1,-1,-1,100,80,0,,,,80,43,15,68,39,14
COLUMBIA-BRAZORIA ISD,5,2911,72,44,19,71,48,20,74,72,38,16,74,45,18,74,45,24,61,27,8,70,39,15,75,48,22,88,59,47,-1,-1,-1,,,,75,40,17,66,37,14
PEARLAND ISD,22,20930,87,67,40,87,71,41,89,87,63,37,89,68,42,86,65,45,82,55,28,82,57,29,92,76,47,88,55,26,97,88,69,85,73,48,91,75,48,77,50,24
DAMON ISD,1,116,61,34,17,65,37,18,48,71,42,21,48,17,9,18,9,9,,,,51,26,11,87,62,36,,,,,,,,,,78,11,11,61,34,17
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2,330,66,32,17,70,39,22,37,72,31,16,37,10,7,20,10,0,,,,56,18,5,,,,,,,,,,,,,,,,56,18,5
ARROW ACADEMY,4,609,75,42,20,78,53,30,65,74,38,15,65,18,5,,,,75,43,22,77,41,17,65,35,18,-1,-1,-1,-1,-1,-1,,,,81,50,19,71,39,16
COLLEGE STATION ISD,20,14138,82,61,35,82,62,33,82,82,58,33,82,62,35,85,67,50,57,29,11,76,49,24,90,73,43,83,56,32,95,86,66,90,63,19,81,60,34,66,37,16
BRYAN ISD,25,16005,66,37,16,66,41,17,69,64,32,14,69,38,14,65,40,21,50,22,7,65,35,14,83,60,31,70,41,16,94,72,40,94,82,47,69,46,23,61,32,12
TERLINGUA CSD,1,111,44,22,10,38,23,11,62,43,12,8,62,48,14,43,19,10,,,,34,20,9,82,33,18,,,,,,,,,,-1,-1,-1,37,18,10
ALPINE ISD,3,970,81,53,25,85,61,28,85,74,42,18,85,58,27,79,56,37,100,86,50,77,49,21,86,60,32,-1,-1,-1,100,75,50,-1,-1,-1,80,60,40,77,47,19
MARATHON ISD,1,57,73,42,13,73,48,18,86,68,28,0,86,57,0,79,43,29,,,,62,30,6,96,72,28,,,,-1,-1,-1,,,,,,,62,25,4
SAN VICENTE ISD,1,9,100,88,44,100,100,57,-1,100,71,29,-1,-1,-1,-1,-1,-1,,,,100,100,25,100,75,63,,,,,,,,,,,,,,,
SILVERTON ISD,1,187,85,63,32,84,64,32,91,87,62,36,91,66,25,76,55,32,,,,80,58,24,89,67,39,100,50,33,,,,,,,-1,-1,-1,76,51,20
BROOKS COUNTY ISD,5,1340,59,29,11,64,39,14,58,54,23,10,58,23,6,55,19,5,,,,59,29,11,61,33,22,,,,-1,-1,-1,,,,,,,57,28,10
BANGS ISD,3,869,81,55,24,80,61,28,84,83,47,20,84,54,16,76,55,30,70,30,9,76,45,15,84,59,28,-1,-1,-1,-1,-1,-1,,,,77,51,21,77,50,20
BROWNWOOD ISD,7,3448,74,46,21,74,49,21,80,73,43,20,80,51,21,71,42,22,59,25,8,70,39,16,80,55,27,100,82,18,96,93,68,-1,-1,-1,73,45,18,67,37,15
BLANKET ISD,1,147,54,29,14,60,36,17,43,45,16,7,43,14,0,75,67,46,,,,48,23,9,61,33,18,,,,,,,-1,-1,-1,-1,-1,-1,49,24,11
MAY ISD,2,227,81,48,19,84,58,25,86,74,36,10,86,50,14,84,43,23,-1,-1,-1,65,34,10,87,51,21,,,,,,,,,,86,64,21,76,40,16
ZEPHYR ISD,1,212,77,43,20,84,52,27,72,75,35,16,72,31,9,62,45,17,-1,-1,-1,57,46,37,81,43,17,,,,,,,,,,80,40,33,71,36,17
BROOKESMITH ISD,5,191,68,39,18,70,48,23,64,66,35,14,64,21,5,67,44,30,,,,53,19,6,73,46,22,-1,-1,-1,,,,,,,,,,68,41,18
EARLY ISD,4,1136,89,65,33,90,68,35,92,86,59,27,92,70,34,94,63,42,75,39,7,90,57,25,90,68,35,-1,-1,-1,76,60,43,,,,90,72,34,84,54,23
CALDWELL ISD,4,1833,82,54,25,81,57,25,82,83,54,26,82,50,19,81,53,30,66,34,9,75,43,18,88,65,33,82,82,64,81,81,25,-1,-1,-1,81,55,23,74,42,17
SOMERVILLE ISD,3,541,60,31,10,56,34,11,60,62,29,11,60,31,6,66,26,7,52,25,5,58,28,7,64,36,16,,,,75,50,13,,,,59,38,8,52,25,8
SNOOK ISD,2,529,72,47,24,67,45,23,75,76,47,26,75,49,20,79,47,22,60,31,13,70,43,17,80,57,34,-1,-1,-1,,,,,,,77,41,23,66,36,14
BURNET CISD,6,3262,70,41,17,70,46,19,74,67,31,12,74,48,18,69,39,22,59,13,0,63,33,11,73,45,20,58,25,17,72,56,28,-1,-1,-1,79,49,20,62,33,12
MARBLE FALLS ISD,7,3995,70,41,18,72,49,21,72,67,32,13,72,41,17,71,44,25,58,36,15,61,30,10,80,53,26,83,33,4,75,53,40,78,56,11,75,45,23,63,32,12
LOCKHART ISD,9,6117,65,34,13,62,36,14,72,67,30,12,72,40,14,56,23,9,50,21,10,63,31,11,76,49,22,61,43,9,88,63,34,-1,-1,-1,78,48,23,61,29,10
LULING ISD,3,1425,67,36,17,66,40,17,68,67,30,14,68,35,13,65,43,27,51,23,12,64,32,14,80,53,27,,,,-1,-1,-1,100,60,20,74,45,26,62,30,14
PRAIRIE LEA ISD,1,235,41,17,5,47,23,5,35,27,2,1,35,15,8,71,43,14,71,14,14,39,18,4,44,12,7,-1,-1,-1,,,,,,,44,22,6,40,14,4
CALHOUN COUNTY ISD,7,3561,76,46,20,76,48,20,81,77,44,20,81,49,20,66,39,22,67,48,21,73,42,17,81,53,25,100,56,11,83,62,44,,,,83,53,13,71,39,15
CROSS PLAINS ISD,2,378,80,53,20,87,59,24,76,79,54,20,76,41,11,67,39,14,,,,80,51,19,81,53,20,-1,-1,-1,,,,,,,-1,-1,-1,76,46,15
CLYDE CISD,4,1431,80,52,25,80,56,26,83,78,45,21,83,56,26,81,56,35,81,52,29,80,49,22,80,52,26,-1,-1,-1,,,,,,,82,55,17,74,42,20
BAIRD ISD,2,293,79,49,20,79,57,22,85,78,40,18,85,60,22,68,29,15,,,,74,40,16,81,53,22,,,,,,,,,,60,10,0,75,43,13
EULA ISD,3,462,83,59,29,86,62,30,89,78,50,24,89,70,34,85,68,46,-1,-1,-1,73,40,19,86,63,31,,,,-1,-1,-1,-1,-1,-1,100,50,17,77,44,19
BROWNSVILLE ISD,52,38412,75,46,20,74,51,22,76,74,42,20,76,42,15,75,46,25,90,65,27,75,46,20,80,53,24,-1,-1,-1,93,81,60,67,50,42,89,56,33,73,44,19
HARLINGEN CISD,29,17022,74,43,18,75,50,21,74,71,36,14,74,41,15,75,46,25,81,52,15,73,43,18,80,54,26,81,35,13,96,85,60,67,67,17,95,60,15,70,39,15
LA FERIA ISD,7,2908,73,40,15,77,49,19,67,69,33,12,67,35,11,75,40,18,89,67,33,73,40,15,72,51,18,-1,-1,-1,-1,-1,-1,,,,73,55,27,70,37,13
LOS FRESNOS CISD,15,10333,80,54,26,80,57,27,83,78,50,23,83,57,26,78,52,32,100,100,90,79,53,26,90,72,38,64,45,9,91,80,53,,,,67,60,40,77,50,22
POINT ISABEL ISD,5,1968,70,36,14,74,46,18,67,66,24,8,67,34,10,74,45,27,100,60,40,69,34,13,86,61,30,-1,-1,-1,100,57,43,,,,87,47,13,68,34,13
RIO HONDO ISD,4,1602,65,36,13,69,44,17,69,61,26,12,69,35,11,59,34,10,54,15,0,65,36,13,76,51,19,,,,,,,,,,100,60,40,63,33,12
SAN BENITO CISD,21,9201,65,35,14,65,40,17,68,61,28,11,68,33,11,71,41,19,75,67,17,65,35,14,70,49,33,,,,,,,-1,-1,-1,100,88,25,63,32,13
SANTA MARIA ISD,4,543,60,29,10,60,33,11,63,59,26,8,63,22,3,53,30,19,-1,-1,-1,60,28,9,-1,-1,-1,,,,,,,,,,20,20,20,59,29,10
SANTA ROSA ISD,3,848,68,36,14,69,41,18,68,65,31,12,68,35,12,67,33,6,,,,68,36,14,-1,-1,-1,,,,,,,,,,-1,-1,-1,65,34,13
SOUTH TEXAS ISD,6,4251,92,72,39,94,81,39,93,90,60,31,93,71,38,93,72,50,97,82,44,92,71,37,88,66,36,100,83,50,98,89,63,-1,-1,-1,91,70,45,90,65,30
PITTSBURG ISD,5,2352,85,56,25,84,57,25,90,85,56,27,90,58,25,82,48,21,80,43,18,84,54,23,90,63,31,-1,-1,-1,82,55,23,,,,83,60,26,83,51,21
GROOM ISD,1,143,92,68,39,87,73,40,97,93,59,33,97,74,41,96,65,52,,,,89,72,50,92,67,38,,,,,,,,,,,,,75,44,26
PANHANDLE ISD,3,663,89,70,39,88,68,39,94,90,72,40,94,73,38,83,64,37,25,17,8,83,63,23,91,71,40,-1,-1,-1,100,100,100,,,,92,71,54,82,54,27
WHITE DEER ISD,2,339,79,48,18,83,57,22,82,74,36,11,82,53,23,76,47,20,-1,-1,-1,75,49,19,80,48,18,80,40,20,,,,,,,100,50,17,73,46,16
ATLANTA ISD,4,1906,79,49,21,80,57,24,82,76,41,20,82,48,17,83,51,23,68,35,12,86,53,26,84,57,26,86,43,14,95,71,48,-1,-1,-1,78,42,18,75,42,16
AVINGER ISD,1,137,71,43,16,70,47,21,79,68,41,16,79,42,5,74,35,19,54,22,7,56,11,0,79,52,21,,,,-1,-1,-1,,,,75,50,17,69,40,16
HUGHES SPRINGS ISD,3,1146,83,55,25,87,61,29,86,81,50,19,86,56,27,74,46,23,65,30,14,79,48,16,86,58,27,,,,88,63,38,,,,75,50,16,77,46,17
LINDEN-KILDARE CISD,3,638,79,49,22,80,54,26,81,79,40,17,81,56,22,71,51,28,59,25,5,68,43,15,84,55,27,-1,-1,-1,100,67,17,,,,85,41,21,73,39,17
MCLEOD ISD,3,399,84,55,24,85,61,26,81,89,55,24,81,46,19,69,47,20,-1,-1,-1,78,50,6,85,56,24,-1,-1,-1,,,,,,,73,47,40,81,51,19
QUEEN CITY ISD,3,933,77,48,21,75,51,21,74,80,44,17,74,42,15,82,55,38,58,29,13,75,38,10,81,52,23,90,40,20,-1,-1,-1,,,,70,45,23,71,38,15
BLOOMBURG ISD,1,240,79,51,21,85,62,23,71,79,49,26,71,42,7,63,19,11,100,29,14,90,70,15,79,50,21,,,,63,50,25,,,,,,,77,49,18
DIMMITT ISD,3,1153,64,30,11,65,34,13,64,64,29,12,64,28,6,61,23,9,48,30,11,63,29,10,88,52,31,,,,83,67,67,,,,-1,-1,-1,62,27,9
HART ISD,1,209,89,57,28,89,64,28,91,90,58,27,91,49,29,83,38,28,,,,88,55,25,100,86,79,,,,,,,,,,-1,-1,-1,88,55,25
NAZARETH ISD,1,250,94,77,46,94,79,53,92,95,80,42,92,70,44,91,71,31,,,,83,59,33,95,80,48,-1,-1,-1,,,,,,,100,82,45,87,59,30
ANAHUAC ISD,3,1389,76,48,19,76,51,21,77,76,44,18,77,49,15,75,51,22,62,32,7,76,47,18,78,51,21,100,67,33,87,69,31,,,,84,45,21,71,40,15
BARBERS HILL ISD,9,6796,91,72,42,90,73,41,91,93,72,44,91,72,40,88,68,46,81,59,30,89,65,34,92,76,46,87,52,27,98,92,75,,,,94,76,42,84,59,29
EAST CHAMBERS ISD,4,1540,78,50,24,78,53,26,78,75,44,18,78,45,16,91,65,46,64,30,10,77,48,22,83,55,29,-1,-1,-1,100,81,33,,,,73,41,20,74,45,19
ALTO ISD,3,556,75,45,20,69,44,22,79,78,39,14,79,57,20,79,47,27,63,27,10,80,49,20,76,52,25,,,,100,78,33,,,,75,46,25,71,41,15
JACKSONVILLE ISD,8,4735,67,38,15,69,44,18,65,65,32,11,65,30,9,70,45,23,50,25,8,67,36,13,78,52,23,100,40,20,71,53,15,-1,-1,-1,65,40,18,64,35,13
RUSK ISD,5,2001,76,45,21,76,50,22,78,74,37,15,78,46,20,80,53,37,64,29,9,79,46,23,77,47,22,-1,-1,-1,100,100,88,,,,75,51,23,72,39,17
NEW SUMMERFIELD ISD,1,538,74,42,15,78,50,20,73,73,38,12,73,38,6,66,36,18,57,21,21,76,43,14,61,40,18,-1,-1,-1,-1,-1,-1,,,,,,,73,41,15
WELLS ISD,1,258,71,37,15,68,42,16,67,75,31,13,67,22,0,72,51,31,74,33,11,61,39,14,71,37,15,,,,,,,,,,77,31,8,69,34,11
CHILDRESS ISD,3,1013,83,57,28,83,62,29,88,85,58,31,88,52,23,66,44,23,73,33,15,79,49,20,86,64,34,88,75,38,90,80,65,-1,-1,-1,81,55,31,79,48,19
HENRIETTA ISD,3,942,83,52,22,83,56,25,86,81,44,16,86,57,22,85,63,33,-1,-1,-1,76,42,18,83,53,22,67,44,22,-1,-1,-1,,,,86,57,25,77,42,19
PETROLIA CISD,2,461,75,45,17,75,49,20,79,68,34,14,79,50,16,88,66,23,57,43,14,75,49,9,74,44,18,-1,-1,-1,,,,,,,88,53,29,69,40,13
BELLEVUE ISD,1,151,82,41,16,89,57,19,81,75,29,8,81,31,23,81,33,29,,,,88,50,25,83,41,17,-1,-1,-1,,,,,,,40,40,0,79,38,11
MIDWAY ISD,1,131,75,48,20,67,51,19,77,79,41,24,77,23,9,87,78,26,,,,56,38,19,77,49,20,,,,,,,,,,,,,72,44,19
MORTON ISD,1,360,54,19,5,56,24,9,51,53,17,3,51,10,0,60,20,7,-1,-1,-1,52,17,4,80,43,17,,,,,,,,,,,,,49,15,4
WHITEFACE CISD,1,313,77,39,15,81,51,22,78,74,31,9,78,32,7,70,32,18,,,,73,32,12,81,48,17,-1,-1,-1,,,,,,,100,69,54,72,32,12
BRONTE ISD,1,238,83,56,27,81,65,30,91,82,48,25,91,65,21,83,37,33,,,,92,54,27,81,56,27,,,,,,,,,,-1,-1,-1,82,48,22
ROBERT LEE ISD,6,262,77,42,19,77,44,19,85,73,41,18,85,39,17,78,42,22,-1,-1,-1,74,35,14,79,47,22,,,,,,,,,,100,75,42,71,33,12
COLEMAN ISD,3,800,73,47,22,75,52,25,82,68,38,17,82,53,26,70,46,27,79,37,11,71,43,23,74,48,23,-1,-1,-1,100,94,56,,,,59,39,15,72,42,18
SANTA ANNA ISD,2,253,78,47,16,76,53,20,82,76,34,10,82,56,11,84,50,25,63,42,26,76,37,9,82,52,19,-1,-1,-1,,,,,,,58,31,0,78,47,16
PANTHER CREEK CISD,1,165,73,43,23,74,47,32,77,70,35,15,77,50,17,78,44,28,14,0,0,86,55,24,75,44,25,,,,,,,,,,50,20,10,69,33,16
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,1,1386,94,77,49,96,84,57,92,93,70,42,92,72,34,93,76,58,89,62,30,90,65,33,94,74,44,100,45,27,98,88,63,-1,-1,-1,86,71,44,83,54,24
LONE STAR LANGUAGE ACADEMY,1,146,92,71,41,94,70,44,100,89,70,41,100,80,0,,,,60,20,0,90,60,10,95,74,47,,,,96,79,49,,,,-1,-1,-1,-1,-1,-1
ALLEN ISD,24,21420,89,71,44,89,74,44,90,88,68,42,90,70,42,91,74,57,76,50,23,82,56,28,91,73,44,81,69,44,97,89,67,78,62,33,89,70,45,74,47,23
ANNA ISD,8,4436,75,47,21,77,52,24,77,72,40,18,77,48,20,72,44,24,64,33,13,73,43,19,81,55,27,82,43,18,87,66,25,67,50,33,76,47,22,68,38,16
CELINA ISD,5,3351,89,65,34,90,73,40,88,88,57,28,88,60,23,89,67,41,81,51,26,79,50,22,92,71,37,94,75,33,97,83,61,,,,93,69,35,79,43,18
FARMERSVILLE ISD,4,2018,81,54,24,83,62,29,85,77,42,16,85,56,20,81,58,32,69,44,18,77,47,19,86,59,27,-1,-1,-1,90,86,66,,,,86,68,35,77,46,17
FRISCO ISD,72,65617,90,74,47,92,79,50,91,88,68,43,91,72,44,92,75,57,75,48,22,82,58,30,92,73,42,90,72,46,97,89,68,92,64,29,89,68,41,72,45,21
MCKINNEY ISD,32,23238,84,62,33,84,64,33,85,83,57,30,85,62,33,88,69,47,72,45,18,77,49,23,92,74,43,86,59,29,93,80,53,92,71,27,88,65,36,71,42,18
MELISSA ISD,6,4859,90,70,40,90,73,41,92,89,64,35,92,74,43,94,76,52,87,62,33,85,61,32,93,75,44,96,69,39,94,82,53,100,75,58,92,74,42,82,57,29
PLANO ISD,74,49241,82,62,37,83,67,39,83,81,56,32,83,60,34,84,65,48,70,41,18,69,42,19,90,71,42,84,58,30,96,85,64,76,45,16,99,97,34,70,42,20
PRINCETON ISD,10,6765,81,56,28,77,56,27,85,82,54,28,85,57,29,84,59,35,81,54,25,76,50,24,86,64,34,95,75,37,92,77,49,69,38,23,84,58,36,76,49,23
PROSPER ISD,21,21700,89,66,36,90,71,39,89,87,60,32,89,66,33,90,68,47,78,50,22,86,61,29,90,66,35,96,74,43,95,82,56,64,45,9,87,64,34,74,45,18
WYLIE ISD,21,18155,89,71,44,89,73,44,90,90,68,42,90,72,45,89,68,50,87,66,39,84,61,34,91,74,47,93,73,41,95,82,56,100,88,38,90,73,49,82,56,30
BLUE RIDGE ISD,3,958,77,52,25,76,55,29,83,76,45,21,83,57,22,76,53,31,67,67,33,72,42,17,80,56,29,100,80,20,,,,,,,76,62,42,70,42,16
COMMUNITY ISD,6,3335,70,39,16,72,46,20,69,66,30,11,69,36,11,75,45,23,66,35,12,63,31,12,76,47,20,78,50,11,83,54,30,100,100,67,72,44,18,61,30,11
LOVEJOY ISD,5,4335,96,85,55,96,86,54,96,98,87,59,96,81,48,95,80,58,89,71,42,95,82,50,97,85,54,96,82,43,98,92,72,-1,-1,-1,98,85,58,91,69,40
WELLINGTON ISD,3,542,82,52,22,84,60,25,86,79,45,21,86,50,17,79,48,24,69,36,8,75,41,14,91,65,32,,,,,,,,,,100,78,56,76,39,14
COLUMBUS ISD,4,1555,73,43,17,75,49,19,72,71,36,15,72,41,13,73,48,24,57,28,8,66,35,13,83,55,24,,,,100,100,33,,,,74,39,11,65,35,13
RICE CISD,7,1272,71,42,17,72,46,19,71,70,39,18,71,42,12,68,35,18,56,25,8,69,40,15,89,62,30,,,,100,90,80,,,,83,55,28,66,36,14
WEIMAR ISD,3,684,86,59,28,83,59,28,86,87,57,24,86,61,30,89,65,34,58,34,11,86,53,19,92,71,39,-1,-1,-1,,,,,,,89,74,47,82,51,22
TRINITY CHARTER SCHOOL,12,347,58,17,0,60,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,0,0,-1,-1,-1,,,,,,,,,,,,,75,25,0
NEW BRAUNFELS ISD,15,9638,81,56,28,83,61,30,81,80,50,23,81,55,26,83,60,40,75,46,16,73,44,18,89,67,37,98,73,28,94,83,47,83,58,42,88,65,36,70,40,16
COMAL ISD,35,27190,87,65,37,87,70,38,88,86,60,33,88,67,36,86,63,42,81,57,27,81,56,28,91,73,43,85,61,25,93,76,48,93,78,31,89,67,39,76,48,22
COMANCHE ISD,4,1303,80,49,22,79,52,22,85,80,47,22,85,51,19,81,48,23,-1,-1,-1,78,45,17,83,54,27,50,17,0,56,33,11,,,,94,72,50,78,43,16
DE LEON ISD,3,740,86,56,24,85,62,27,89,86,51,22,89,51,17,86,55,31,86,71,14,80,46,17,90,62,28,,,,-1,-1,-1,,,,82,65,41,82,47,18
GUSTINE ISD,1,145,79,50,20,73,52,20,76,86,52,24,76,44,16,80,33,13,,,,82,49,20,70,52,21,,,,,,,,,,,,,77,49,19
SIDNEY ISD,1,128,84,49,23,85,54,24,96,76,35,19,96,78,33,94,41,24,,,,83,45,19,83,49,24,,,,,,,,,,-1,-1,-1,82,47,18
EDEN CISD,3,222,68,37,16,72,42,17,63,64,27,11,63,32,15,73,51,27,-1,-1,-1,61,28,10,80,58,31,,,,-1,-1,-1,,,,83,17,0,62,28,9
PAINT ROCK ISD,5,225,66,34,12,74,42,16,66,60,25,5,66,34,13,58,37,21,,,,66,30,8,64,37,14,,,,100,60,40,,,,100,100,100,65,34,13
GAINESVILLE ISD,5,3138,66,36,14,62,37,13,68,68,31,12,68,38,12,71,46,25,59,27,11,63,32,11,72,44,19,69,46,12,88,54,34,,,,76,44,18,61,31,11
MUENSTER ISD,2,523,93,75,40,93,79,42,96,92,72,40,96,79,36,88,63,42,-1,-1,-1,100,76,36,92,75,41,,,,-1,-1,-1,,,,90,69,21,83,59,30
VALLEY VIEW ISD,3,941,69,38,16,71,45,18,72,67,32,15,72,33,12,68,40,16,14,0,0,59,27,9,75,45,20,,,,100,100,57,-1,-1,-1,85,32,9,62,29,11
CALLISBURG ISD,4,1140,78,51,24,77,55,25,81,81,49,23,81,47,18,65,44,31,81,57,33,70,39,12,80,53,26,-1,-1,-1,,,,,,,70,44,28,67,38,13
ERA ISD,1,493,86,57,26,86,62,28,83,88,55,28,83,51,16,84,47,26,-1,-1,-1,82,47,18,86,58,27,-1,-1,-1,100,80,60,,,,95,63,16,81,48,16
LINDSAY ISD,2,482,91,68,35,92,73,39,93,91,67,37,93,62,27,86,59,27,-1,-1,-1,81,35,12,92,68,35,100,100,86,100,90,60,-1,-1,-1,60,60,40,90,54,22
WALNUT BEND ISD,1,56,67,31,10,79,50,21,47,71,24,6,47,20,0,38,0,0,,,,77,27,4,63,32,12,,,,,,,,,,,,,66,27,9
SIVELLS BEND ISD,1,63,84,38,17,89,50,24,92,79,29,8,92,38,23,60,20,20,-1,-1,-1,85,77,23,83,32,14,-1,-1,-1,,,,,,,-1,-1,-1,82,34,7
EVANT ISD,2,213,60,30,9,69,42,11,55,53,20,4,55,29,10,55,29,13,-1,-1,-1,56,34,9,61,27,7,,,,,,,,,,83,33,33,47,21,6
GATESVILLE ISD,5,2689,77,50,24,77,52,25,81,75,44,18,81,56,28,79,53,30,72,35,12,73,41,16,78,53,26,86,64,21,100,86,52,,,,72,41,21,72,41,18
OGLESBY ISD,1,198,78,42,17,79,53,23,86,70,33,11,86,33,3,91,41,28,,,,73,32,10,80,46,19,,,,,,,,,,78,56,22,73,39,14
JONESBORO ISD,1,338,71,38,14,77,43,14,76,59,27,11,76,39,11,81,48,27,-1,-1,-1,68,43,10,71,37,14,,,,,,,,,,75,63,13,68,35,14
COPPERAS COVE ISD,11,8102,74,46,20,75,51,21,73,73,42,18,73,43,16,77,50,30,69,39,14,72,43,18,78,51,24,69,42,8,89,69,44,66,40,16,78,51,23,69,40,16
PADUCAH ISD,1,161,72,40,15,74,44,16,68,69,29,12,68,43,18,84,58,26,55,23,9,68,31,7,83,54,25,-1,-1,-1,,,,,,,-1,-1,-1,72,37,14
