"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
050910,COPPERAS COVE ISD,050910005,CROSSROADS H S,REGION 12: WACO,CORYELL,High School,10 - 12,Yes,No,106,77.4%,6.6%,C,79,C,79,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910041,COPPERAS COVE J H,REGION 12: WACO,CORYELL,Middle School,06 - 08,No,No,950,62.8%,7.1%,C,74,C,73,C,75,Not Rated: Senate Bill 1365,56,C,75,C,73,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910042,S C LEE J H,REGION 12: WACO,CORYELL,Middle School,06 - 08,No,No,930,61.8%,5.2%,B,81,C,78,B,82,C,74,B,82,C,77,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910101,FAIRVIEW/MISS JEWELL EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,536,79.3%,7.1%,A,91,C,78,A,91,A,91,B,85,A,92,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910102,HETTIE HALSTEAD EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,355,76.3%,4.5%,A,90,C,79,B,89,B,89,B,86,A,92,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910104,C R CLEMENTS/HOLLIE PARSONS EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,846,65.6%,10.3%,B,88,C,79,B,89,B,89,B,84,B,86,,,Not Earned,Earned,Not Earned,,Not Earned,Earned,Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910105,MAE STEVENS EARLY LEARNING ACADEMY,REGION 12: WACO,CORYELL,Elementary,EE - PK,No,No,314,76.1%,5.4%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910106,MARTIN WALKER EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,410,60.2%,4.1%,A,94,A,90,A,93,A,93,A,90,A,96,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Earned,025,011,054,068,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910107,J L WILLIAMS/LOVETT LEDGER EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,721,69.9%,4.6%,C,74,Not Rated: Senate Bill 1365,67,C,77,C,77,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,66,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,050910110,HOUSE CREEK EL,REGION 12: WACO,CORYELL,Elementary,KG - 05,No,No,674,55.0%,4.7%,A,94,A,91,A,91,B,88,A,91,A,100,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
051901,PADUCAH ISD,,,REGION 17: LUBBOCK,COTTLE,District,,No,No,161,72.0%,0.0%,B,86,B,87,A,90,C,79,A,90,C,77,,,,,,,,,,,,,,,,
051901,PADUCAH ISD,051901001,PADUCAH SCHOOL,REGION 17: LUBBOCK,COTTLE,Elem/Secondary,PK - 12,No,No,161,72.0%,0.0%,B,86,B,87,A,90,C,79,A,90,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,013,013,068,069,028,028,ZONED SCHOOL-TRANSFERS ACCEPTED
052901,CRANE ISD,,,REGION 15: SAN ANGELO,CRANE,District,,No,No,"1,151",42.1%,21.7%,B,85,C,74,A,90,A,90,Not Rated: Senate Bill 1365,60,C,72,,,,,,,,,Not Earned,,,,,,,
052901,CRANE ISD,052901001,CRANE H S,REGION 15: SAN ANGELO,CRANE,High School,09 - 12,No,No,326,35.0%,12.6%,B,85,C,77,B,89,B,89,Not Rated: Senate Bill 1365,62,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,023,023,082,053,028,031,ZONED SCHOOL-TRANSFERS ACCEPTED
052901,CRANE ISD,052901041,CRANE MIDDLE,REGION 15: SAN ANGELO,CRANE,Middle School,06 - 08,No,No,251,35.9%,22.3%,C,78,C,71,C,79,C,79,Not Rated: Senate Bill 1365,55,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,023,023,082,053,028,031,ZONED SCHOOL-TRANSFERS ACCEPTED
052901,CRANE ISD,052901101,CRANE EL,REGION 15: SAN ANGELO,CRANE,Elementary,EE - 05,No,No,574,48.8%,26.7%,B,86,C,72,A,90,A,90,Not Rated: Senate Bill 1365,60,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,023,023,082,053,028,031,ZONED SCHOOL-TRANSFERS ACCEPTED
053001,CROCKETT COUNTY CONSOLIDATED CSD,,,REGION 15: SAN ANGELO,CROCKETT,District,,No,No,729,65.8%,15.9%,A,93,A,91,A,92,A,90,A,92,A,95,,,,,,,,,Not Earned,,,,,,,
053001,CROCKETT COUNTY CONSOLIDATED CSD,053001001,OZONA H S,REGION 15: SAN ANGELO,CROCKETT,High School,09 - 12,No,No,235,61.7%,16.6%,A,90,A,90,A,91,Not Rated: Senate Bill 1365,66,A,91,B,86,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,023,023,053,053,019,019,ZONED SCHOOL-TRANSFERS ACCEPTED
053001,CROCKETT COUNTY CONSOLIDATED CSD,053001041,OZONA MIDDLE,REGION 15: SAN ANGELO,CROCKETT,Middle School,06 - 08,No,No,173,64.2%,13.9%,A,92,B,80,B,89,B,89,B,86,A,99,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,023,023,053,053,019,019,ZONED SCHOOL-TRANSFERS ACCEPTED
053001,CROCKETT COUNTY CONSOLIDATED CSD,053001103,OZONA EL,REGION 15: SAN ANGELO,CROCKETT,Elementary,PK - 05,No,No,321,69.8%,16.5%,B,87,C,78,B,88,B,88,B,84,B,85,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,023,023,053,053,019,019,ZONED SCHOOL-TRANSFERS ACCEPTED
054901,CROSBYTON CISD,,,REGION 17: LUBBOCK,CROSBY,District,,No,No,329,77.8%,1.5%,B,85,B,83,B,89,C,76,A,93,C,76,,,,,,,,,Not Earned,,,,,,,
054901,CROSBYTON CISD,054901001,CROSBYTON SECONDARY,REGION 17: LUBBOCK,CROSBY,Elem/Secondary,06 - 12,No,No,172,66.3%,2.3%,B,86,B,83,A,91,B,80,A,91,C,74,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,019,019,068,083,028,028,ZONED SCHOOL-TRANSFERS ACCEPTED
054901,CROSBYTON CISD,054901101,CROSBYTON EL,REGION 17: LUBBOCK,CROSBY,Elementary,PK - 05,No,No,150,90.7%,0.7%,C,70,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,019,019,068,083,028,028,ZONED SCHOOL-TRANSFERS ACCEPTED
054901,CROSBYTON CISD,054901200,SP ED CO-OP,REGION 17: LUBBOCK,CROSBY,Elem/Secondary,EE - 12,No,No,7,85.7%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,019,019,068,083,028,028,ZONED SCHOOL-TRANSFERS ACCEPTED
054902,LORENZO ISD,,,REGION 17: LUBBOCK,CROSBY,District,,No,No,237,81.9%,8.4%,B,85,C,78,A,90,Not Rated: Senate Bill 1365,68,A,90,C,74,,,,,,,,,,,,,,,,
054902,LORENZO ISD,054902001,LORENZO ISD,REGION 17: LUBBOCK,CROSBY,Elem/Secondary,PK - 12,No,No,237,81.9%,8.4%,B,85,C,78,A,90,Not Rated: Senate Bill 1365,68,A,90,C,74,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,019,019,068,083,028,028,ZONED SCHOOL-TRANSFERS ACCEPTED
