"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
220901,ARLINGTON ISD,220901151,LARSON EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,402,87.3%,5.7%,B,84,Not Rated: Senate Bill 1365,54,B,89,B,89,Not Rated: Senate Bill 1365,55,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,025,092,092,009,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901152,WEST EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,591,70.6%,28.9%,B,89,C,77,A,92,A,92,B,83,B,82,,,Earned,Earned,Not Earned,,Earned,Not Earned,Earned,006,030,101,101,022,023,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901153,HALE EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,394,90.9%,24.6%,B,85,C,72,B,89,B,89,B,81,C,75,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,006,030,101,101,022,023,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901154,PEARCY STEM ACADEMY,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,516,63.2%,28.7%,A,96,A,90,A,96,A,96,A,90,A,96,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,006,025,101,101,022,022,COMBINED ENROLLMENT TYPE SCHOOL
220901,ARLINGTON ISD,220901155,BURGIN EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,514,90.1%,51.2%,B,85,Not Rated: Senate Bill 1365,59,B,89,A,91,Not Rated: Senate Bill 1365,65,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,006,094,101,009,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901158,BECKHAM EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,416,70.2%,42.3%,B,88,C,77,A,90,A,90,B,83,B,82,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,006,006,101,101,022,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901159,REMYNSE EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,417,90.9%,42.2%,A,92,C,77,A,91,A,91,B,85,A,94,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,033,033,101,092,009,023,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901160,ANDERSON EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,408,95.3%,62.0%,B,84,Not Rated: Senate Bill 1365,59,B,88,B,88,Not Rated: Senate Bill 1365,66,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,033,101,092,009,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901161,ADAMS EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,754,91.8%,46.4%,C,78,Not Rated: Senate Bill 1365,67,B,80,B,80,C,74,C,72,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,033,033,101,101,009,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901162,PATRICK EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,600,93.5%,46.5%,C,72,Not Rated: Senate Bill 1365,56,C,74,C,74,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,66,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,033,101,092,009,023,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901163,JONES FINE ARTS / DUAL LANGUAGE ACADEMY,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,No,441,53.5%,31.1%,B,88,C,76,A,91,A,91,C,75,B,81,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,025,093,092,010,022,SELECTIVE ENROL SCHL-CRITERIA-BASED
220901,ARLINGTON ISD,220901164,PEACH EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,965,87.0%,22.3%,C,77,Not Rated: Senate Bill 1365,58,C,79,C,79,Not Rated: Senate Bill 1365,60,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,025,093,092,009,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901165,MCNUTT EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 06,No,No,638,84.3%,39.5%,B,84,Not Rated: Senate Bill 1365,58,B,88,B,88,Not Rated: Senate Bill 1365,60,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,025,094,101,022,022,ZONED SCHOOL-TRANSFERS ACCEPTED
220901,ARLINGTON ISD,220901166,WIMBISH WORLD LANGUAGE ACADEMY,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 06,No,No,351,71.8%,33.0%,B,82,C,78,B,84,C,72,B,84,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,025,094,094,010,009,SELECTIVE ENROL SCHL-CRITERIA-BASED
220902,BIRDVILLE ISD,,,REGION 11: FORT WORTH,TARRANT,District,,No,No,"22,447",59.8%,23.5%,B,84,B,86,B,87,B,85,B,87,C,78,,,,,,,,,Not Earned,,,,,,,
220902,BIRDVILLE ISD,220902001,HALTOM H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"2,791",65.3%,25.2%,C,78,C,79,B,81,Not Rated: Senate Bill 1365,69,B,81,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902002,RICHLAND H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"2,092",45.3%,13.0%,B,84,B,87,B,84,C,72,B,84,C,76,,,Not Earned,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902009,TARRANT CO J J A E P,REGION 11: FORT WORTH,TARRANT,High School,10 - 10,No,No,1,100.0%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,012,012,091,091,009,009,SPECIAL ASSIGNMENT SCHOOL
220902,BIRDVILLE ISD,220902010,BIRDVILLE H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"2,047",42.1%,11.3%,B,89,A,91,B,84,C,70,B,84,B,84,,,Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902012,SHANNON H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,Yes,No,133,63.9%,14.3%,Not Rated: Senate Bill 1365,68,B,81,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated: Senate Bill 1365,30,,,,,,,,,,012,012,091,091,009,009,SELECTIVE ENROL SCHL-CRITERIA-BASED
220902,BIRDVILLE ISD,220902041,HALTOM MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,"1,002",81.6%,44.5%,C,79,C,74,B,83,C,77,B,83,C,71,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902042,NORTH RICHLAND MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,874,62.1%,22.4%,C,76,C,74,C,77,C,72,C,77,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902043,RICHLAND MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,654,78.6%,27.4%,B,83,C,76,B,86,C,72,B,86,C,76,Targeted Support,,Not Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902044,NORTH OAKS MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,541,72.6%,22.2%,C,70,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,69,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902045,WATAUGA MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,671,70.2%,29.2%,B,83,C,75,B,83,B,83,B,82,B,83,Targeted Support,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902046,SMITHFIELD MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,826,25.2%,6.1%,A,95,A,93,A,93,A,93,A,91,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902047,NORTH RIDGE MIDDLE,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,657,37.7%,6.5%,B,86,B,86,B,81,B,80,B,81,B,85,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902101,BIRDVILLE EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,419,82.6%,39.4%,B,86,Not Rated: Senate Bill 1365,67,A,91,A,91,C,72,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902102,DAVID E SMITH EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,390,83.3%,42.8%,B,83,C,78,B,86,B,85,B,86,C,75,,,Earned,Not Earned,Earned,,Not Earned,Not Earned,Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902103,W T FRANCISCO EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,364,84.1%,48.6%,B,85,C,76,B,89,B,89,B,84,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902104,JACK C BINION EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,728,79.4%,40.0%,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,56,C,70,C,70,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,61,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902105,ALLIENE MULLENDORE EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,332,71.7%,19.6%,B,86,C,77,A,90,A,90,B,83,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902107,SMITHFIELD EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,560,42.9%,9.8%,A,95,A,92,A,93,A,93,A,91,A,100,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902108,SNOW HEIGHTS EL,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,No,367,42.8%,6.3%,A,91,B,88,B,89,B,89,B,82,A,94,,,Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902109,CHENEY HILLS EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,609,83.7%,43.8%,B,87,C,70,A,91,A,91,C,75,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902110,O H STOWE EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,631,78.6%,33.3%,C,78,Not Rated: Senate Bill 1365,67,B,80,B,80,C,70,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902111,WEST BIRDVILLE EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,662,85.3%,70.5%,C,70,Not Rated: Senate Bill 1365,62,C,72,C,72,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,012,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902112,HOLIDAY HEIGHTS EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,527,65.8%,13.3%,B,82,C,77,B,83,B,83,B,81,C,78,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902113,WATAUGA EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,726,80.9%,42.0%,C,75,Not Rated: Senate Bill 1365,67,C,77,C,77,C,72,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902114,GRACE E HARDEMAN EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,611,59.4%,20.3%,B,89,B,89,B,89,B,89,B,89,A,90,,,Not Earned,Not Earned,Earned,,Not Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902115,W A PORTER EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,533,21.0%,4.9%,B,87,A,91,B,83,B,83,C,79,C,77,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,024,024,092,094,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902116,ACADEMY AT CARRIE F THOMAS,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,557,74.0%,38.1%,B,85,C,79,B,85,B,82,B,85,B,85,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902117,FOSTER VILLAGE EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,405,62.7%,13.6%,B,80,C,78,B,82,C,75,B,82,C,75,,,Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902118,NORTH RIDGE EL,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,No,493,38.7%,4.9%,A,94,A,92,B,88,B,88,B,88,A,100,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902119,JOHN D SPICER EL,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,No,390,68.2%,18.2%,A,94,B,83,A,94,A,94,B,87,A,94,,,Earned,Not Earned,Earned,,Earned,Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902120,GREEN VALLEY EL,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,No,417,20.1%,3.6%,A,95,A,93,A,91,A,91,B,85,A,98,,,Earned,Earned,Not Earned,,Not Earned,Not Earned,Earned,026,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220902,BIRDVILLE ISD,220902121,WALKER CREEK EL,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,No,437,29.1%,7.8%,A,94,A,92,A,93,A,93,B,84,A,96,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,012,024,091,091,009,009,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,,,REGION 11: FORT WORTH,TARRANT,District,,No,No,"5,457",93.2%,33.7%,B,87,B,84,A,93,B,85,A,93,C,74,,,,,,,,,Not Earned,,,,,,,
220904,EVERMAN ISD,220904001,EVERMAN H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,753",91.8%,20.4%,B,86,B,86,A,91,Not Rated: Senate Bill 1365,66,A,91,C,74,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904003,EVERMAN ACADEMY H S,REGION 11: FORT WORTH,TARRANT,High School,10 - 12,Yes,No,70,100.0%,20.0%,B,83,B,83,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904041,CHARLES BAXTER J H,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,827,94.0%,30.2%,C,76,Not Rated: Senate Bill 1365,62,C,77,C,77,C,72,C,72,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904042,ROY JOHNSON STEM ACADEMY,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,No,396,92.7%,32.8%,B,85,C,76,B,88,B,83,B,88,C,79,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904101,BISHOP EL,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,No,375,93.1%,53.3%,B,89,C,77,B,89,B,89,B,86,A,90,,,Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904102,E RAY EL,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,No,385,93.8%,42.1%,B,87,Not Rated: Senate Bill 1365,69,A,92,A,92,C,75,C,74,,,Not Earned,Earned,Not Earned,,Earned,Not Earned,Earned,012,025,095,090,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904103,SOUDER EL,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,No,384,94.8%,49.2%,B,87,C,70,A,91,A,91,C,78,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904104,HOMMEL EL,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,No,311,93.9%,52.7%,B,83,C,71,B,85,B,85,C,79,C,78,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904105,DAN POWELL EARLY LEARNING ACADEMY,REGION 11: FORT WORTH,TARRANT,Elementary,EE - KG,No,No,600,93.5%,50.0%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,033,033,095,095,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220904,EVERMAN ISD,220904106,JOHN AND POLLY TOWNLEY EL,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,No,356,94.7%,19.9%,B,86,Not Rated: Senate Bill 1365,65,A,90,A,90,C,73,C,77,Comprehensive Progress,,Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,006,025,096,096,010,010,ZONED SCHOOL-TRANSFERS ACCEPTED
220905,FORT WORTH ISD,,,REGION 11: FORT WORTH,TARRANT,District,,No,No,"74,326",85.2%,37.6%,B,81,C,73,B,84,C,79,B,84,C,73,,,,,,,,,Not Earned,,,,,,,
220905,FORT WORTH ISD,220905001,CARTER-RIVERSIDE H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,053",92.2%,38.1%,C,77,C,70,B,80,Not Rated: Senate Bill 1365,59,B,80,C,70,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,093,093,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905002,ARLINGTON HEIGHTS H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,872",71.7%,18.6%,C,71,C,74,C,75,Not Rated: Senate Bill 1365,63,C,75,Not Rated: Senate Bill 1365,63,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,099,099,012,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905003,SOUTH HILLS H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,876",91.5%,41.5%,C,75,Not Rated: Senate Bill 1365,69,C,76,Not Rated: Senate Bill 1365,62,C,76,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,095,095,010,010,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905004,DIAMOND HILL-JARVIS H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,042",95.0%,49.6%,C,78,C,71,B,82,Not Rated: Senate Bill 1365,56,B,82,C,70,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,090,090,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905005,DUNBAR H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,858,94.1%,22.7%,C,76,Not Rated: Senate Bill 1365,68,C,78,Not Rated: Senate Bill 1365,65,C,78,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,095,095,010,010,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905006,EASTERN HILLS H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,135",93.2%,20.4%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,61,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,65,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,006,033,095,095,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905008,NORTH SIDE H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,843",91.8%,39.1%,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,66,C,72,Not Rated: Senate Bill 1365,65,C,72,Not Rated: Senate Bill 1365,63,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,090,090,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905009,POLYTECHNIC H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,324",96.0%,50.2%,C,70,Not Rated: Senate Bill 1365,65,C,70,Not Rated: Senate Bill 1365,56,C,70,C,70,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,090,090,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905010,PASCHAL H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"2,263",61.8%,19.9%,B,80,B,82,B,83,Not Rated: Senate Bill 1365,62,B,83,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,012,012,097,097,010,009,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905011,TRIMBLE TECHNICAL H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,696",92.2%,35.8%,B,81,B,81,B,83,C,72,B,83,C,75,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Earned,Not Earned,012,012,095,095,010,009,SELECTIVE ENROL SCHL-CRITERIA-BASED
220905,FORT WORTH ISD,220905014,SOUTHWEST H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,329",84.9%,19.9%,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,68,C,72,Not Rated: Senate Bill 1365,68,C,72,Not Rated: Senate Bill 1365,63,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,012,012,097,097,010,010,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905015,WESTERN HILLS H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,917,87.0%,23.9%,B,81,C,74,B,85,Not Rated: Senate Bill 1365,65,B,85,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,012,012,097,097,012,010,COMBINED ENROLLMENT TYPE SCHOOL
220905,FORT WORTH ISD,220905016,O D WYATT H S,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,No,"1,490",97.0%,40.8%,C,78,Not Rated: Senate Bill 1365,68,B,80,Not Rated: Senate Bill 1365,62,B,80,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,033,033,095,095,010,010,COMBINED ENROLLMENT TYPE SCHOOL
