DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
WELLMAN-UNION CISD,284,940,48152,18956,5134678,4214676,13729,2212930,7208
THROCKMORTON COLLEGIATE ISD,156,-1,49518,23141,3213367,2783168,19880,1511923,10799
WOODSON ISD,160,-1,62975,17106,2718082,2375622,14755,1328699,8253
MOUNT PLEASANT ISD,5139,1056,52799,13656,66343249,57645766,10881,34494051,6511
CHAPEL HILL ISD,1042,1093,52390,13522,12615076,11985787,12107,6967800,7038
HARTS BLUFF ISD,804,,54103,16780,9745824,7833923,11191,4861744,6945
TEXAS LEADERSHIP PUBLIC SCHOOLS,3511,1079,49519,11157,31940280,29666937,10362,14360035,5016
CHRISTOVAL ISD,562,986,49654,16119,7782435,6532538,11603,3142448,5582
SAN ANGELO ISD,13798,964,51726,11700,139627164,135462029,9646,77174351,5496
WATER VALLEY ISD,350,,54160,19435,5307302,4227093,13592,2365295,7605
WALL ISD,1283,1124,51143,13845,15946350,15415543,12313,9246065,7385
GRAPE CREEK ISD,1132,,47381,14846,15430748,12814649,11682,6955803,6341
VERIBEST ISD,277,-1,49850,14590,3493141,3407934,13260,1656314,6445
UNIVERSITY OF TEXAS AT AUSTIN H S,666,1241,55479,,,,,,
WAYSIDE SCHOOLS,1643,889,48897,11660,21531042,18251388,9807,10236805,5501
NYOS CHARTER SCHOOL,1422,1120,52382,12634,13577427,11045948,10256,6950392,6453
TEXAS EMPOWERMENT ACADEMY,392,-1,53535,16512,5828691,5366330,15202,2841529,8050
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,532,-1,56447,19346,11956062,11135989,18019,6813897,11026
CHAPARRAL STAR ACADEMY,354,1301,54378,8932,3304662,2873379,7766,2097199,5668
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,4224,1030,60649,11055,49912409,44822957,9928,25580320,5666
CEDARS INTERNATIONAL ACADEMY,496,1154,54946,13096,6495374,6226601,12554,3809284,7680
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,302,,54480,13582,3938833,3505427,12088,2094848,7224
KIPP TEXAS PUBLIC SCHOOLS,32318,944,57129,12705,391413971,342913909,10995,169731048,5442
AUSTIN DISCOVERY SCHOOL,430,,47556,11231,4862920,4170903,9633,2668820,6164
VALERE PUBLIC SCHOOLS,1018,,57932,12648,12774547,10734475,10628,4761394,4714
AUSTIN ACHIEVE PUBLIC SCHOOLS,2312,-1,57360,14293,31188265,28005024,12835,12768114,5852
MONTESSORI FOR ALL,470,,51304,12699,6082885,4746473,9909,2506109,5232
THE EXCEL CENTER - FOR ADULTS,844,,49296,10141,7402803,6432131,8811,2476108,3392
VALOR PUBLIC SCHOOLS,1378,,45876,10601,11565701,9424436,8638,4764383,4367
AUSTIN ISD,71883,1048,56424,13965,881678532,942187640,12609,474914623,6355
PFLUGERVILLE ISD,25348,982,57518,14088,274270069,277045637,10904,167749722,6602
MANOR ISD,9029,867,55585,14446,101816608,100208325,10866,53786332,5832
EANES ISD,7809,1332,56816,12980,80943211,84671112,10652,49241687,6195
DEL VALLE ISD,10853,881,59243,13929,120626288,127087222,11942,72768440,6838
LAGO VISTA ISD,1803,1149,55372,13391,16491011,16102269,9983,9380055,5815
LAKE TRAVIS ISD,10953,1169,55278,13575,101634305,101889527,9288,57030611,5199
GROVETON ISD,741,1052,53818,14312,10874144,9962383,13091,5572214,7322
TRINITY ISD,1159,959,50531,14434,15376167,15350625,13222,7825140,6740
CENTERVILLE ISD,137,846,52999,18136,2471201,2141302,15517,1254122,9088
APPLE SPRINGS ISD,205,1083,55166,14852,3001004,2808524,13700,1379554,6730
COLMESNEIL ISD,453,991,55468,14531,6280492,4943171,11364,2738813,6296
WOODVILLE ISD,1263,959,50765,14995,18441735,18060564,14660,9212201,7477
WARREN ISD,1262,1004,52715,14310,16551049,14647183,11570,7248050,5725
SPURGER ISD,369,762,50143,16047,5645926,5001628,14050,2718135,7635
CHESTER ISD,212,923,75719,15107,3135866,2842270,13470,1529083,7247
BIG SANDY ISD,655,930,48216,14994,8921435,7730944,12042,4414203,6876
GILMER ISD,2676,-1,49463,16238,37453850,31595161,12593,17393539,6932
ORE CITY ISD,861,,49199,14540,12929722,11103977,11965,5813652,6265
UNION HILL ISD,284,-1,52397,16664,5060980,4591581,14956,2707749,8820
HARMONY ISD,1036,-1,51024,12869,12985486,11601620,11319,6816673,6650
NEW DIANA ISD,1214,-1,50438,13796,13013666,12564311,10739,6342624,5421
UNION GROVE ISD,701,-1,50863,14138,9296493,8873764,12308,4791642,6646
MCCAMEY ISD,521,-1,54171,25169,9291828,8595869,17436,4050087,8215
RANKIN ISD,312,963,52405,96600,10490447,23856448,82548,4421673,15300
KNIPPA ISD,412,1153,48912,12780,5641736,4672646,10247,3102694,6804
SABINAL ISD,393,942,53701,19337,8011301,8189979,19454,4171484,9909
UVALDE CISD,4103,896,53427,14458,51551642,53228473,12957,29408010,7159
UTOPIA ISD,212,964,52297,14671,2989808,3010759,14615,1546490,7507
SAN FELIPE-DEL RIO CISD,9851,1015,56157,11901,111200335,103641127,10512,56216652,5702
COMSTOCK ISD,240,900,50848,20242,4214884,3330447,14418,1795468,7773
RANCH ACADEMY,75,,60279,18438,1124729,987859,16194,539072,8837
CANTON ISD,2273,1073,50996,12580,22768396,19767867,9289,12007395,5643
EDGEWOOD ISD,1027,1003,53351,14332,13153534,10920965,11364,5968139,6210
GRAND SALINE ISD,1173,928,50340,15409,15950290,14456892,12989,7213443,6481
MARTINS MILL ISD,511,1021,53056,14014,6005014,6051318,13241,3470393,7594
VAN ISD,2366,957,47915,12224,25417139,24494551,10445,12814244,5464
WILLS POINT ISD,2628,1030,53416,11718,28813924,24515700,9966,13117241,5332
FRUITVALE ISD,427,1162,51852,15874,6652224,6032906,14030,3368118,7833
BLOOMINGTON ISD,825,864,53513,13999,11726486,11665958,13182,6127064,6923
VICTORIA ISD,13253,990,52838,12063,140315045,137946718,10268,75387890,5611
NURSERY ISD,136,,47775,16200,2038013,1822966,12929,987803,7006
RAVEN SCHOOL,29,,62353,23549,918412,1174733,30121,521325,13367
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,432,,57550,12192,4876928,3285371,8213,2281443,5704
NEW WAVERLY ISD,994,1035,51665,14950,13857414,12760401,12293,6985858,6730
HUNTSVILLE ISD,15260,971,51104,9214,96828043,90873450,8392,59082923,5456
HEMPSTEAD ISD,1584,908,54050,14289,19212148,19433560,12861,10048328,6650
WALLER ISD,8367,928,62237,14097,88458161,85663681,11059,48912416,6315
ROYAL ISD,2572,959,57657,15624,32394840,30319919,12246,16865046,6811
MONAHANS-WICKETT-PYOTE ISD,2039,903,56082,20573,31827585,26170913,12486,15363051,7330
GRANDFALLS-ROYALTY ISD,147,,59505,19067,2400378,2527661,15227,1431600,8624
BRENHAM ISD,4866,1015,53796,11648,54535045,53399198,10853,30830480,6266
BURTON ISD,519,909,55295,17446,7781210,6772702,14199,4044486,8479
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,182,781,41487,14806,3582932,3458375,14291,1703191,7038
LAREDO ISD,19716,859,60329,13935,270875458,267545936,12153,154194576,7004
UNITED ISD,39243,1000,58924,12654,489265086,469624276,11226,267132266,6385
WEBB CISD,264,947,61610,35561,7482546,7087074,26346,3345980,12439
BOLING ISD,1141,1007,53084,11474,12555497,11756736,10727,5807359,5299
EAST BERNARD ISD,954,1016,52780,14080,11481441,10121343,10978,6000641,6508
EL CAMPO ISD,3404,1045,55987,13265,41353302,38961215,11125,21647778,6182
WHARTON ISD,1960,983,52871,13652,22122115,21852899,11459,11851217,6215
LOUISE ISD,518,1017,59302,14101,6881205,6538056,13398,3687902,7557
SHAMROCK ISD,381,825,50060,16210,6452202,6205578,15398,3500812,8687
WHEELER ISD,406,,52043,14763,5657966,4856978,11647,3120739,7484
KELTON ISD,137,,47643,27333,2373563,1984026,16672,1121027,9420
FORT ELLIOTT CISD,159,,50557,31354,1851044,3077075,21369,1361310,9454
BURKBURNETT ISD,3307,1168,52818,13906,39391751,31465342,9848,18311653,5731
ELECTRA ISD,454,1113,52474,20026,6839386,6096606,13825,3166213,7180
IOWA PARK CISD,1921,1064,53323,12404,20871625,19404070,10223,11289805,5948
WICHITA FALLS ISD,13371,1071,57611,11225,142802416,147126915,10829,90044734,6627
CITY VIEW ISD,1121,1018,49418,18879,18351851,14155682,13837,7241297,7078
HARROLD ISD,105,-1,63494,25508,2690632,2167463,20257,1136275,10619
VERNON ISD,1862,-1,46089,13332,24494134,21894366,11578,12764601,6750
NORTHSIDE ISD,236,923,52115,14915,3322896,2513184,10560,1331924,5596
LASARA ISD,327,1077,54721,18468,5272721,5207418,16637,2999073,9582
LYFORD CISD,1428,-1,50760,16857,21037145,20293523,14005,9465894,6533
RAYMONDVILLE ISD,1959,850,56427,21717,30293167,28237164,13582,14418163,6935
SAN PERLITA ISD,223,,54351,22057,4604313,5041075,21729,2526824,10891
MERIDIAN WORLD SCHOOL LLC,1683,1227,55339,10312,17313738,15384972,9163,9766840,5817
GOODWATER MONTESSORI SCHOOL,369,,49415,12209,4175636,3836591,11218,2033057,5945
FLORENCE ISD,1114,938,54255,14841,14730876,14431678,13462,7488492,6986
GEORGETOWN ISD,12566,990,55170,14610,130180092,135924548,11493,77905307,6587
GRANGER ISD,506,1069,51486,13851,6140832,5811373,12943,3180706,7084
HUTTO ISD,8932,1103,56038,12855,88892732,88309457,10513,50277414,5985
JARRELL ISD,2882,1012,56278,14596,25116654,23489643,10200,13039337,5662
LIBERTY HILL ISD,6824,1048,53354,12871,52322159,50407999,9130,28768148,5211
ROUND ROCK ISD,45990,1106,58184,11734,457218588,482303278,10015,284843739,5915
TAYLOR ISD,3014,956,53831,14502,37188831,35020393,11835,18623661,6294
THRALL ISD,786,1023,54355,14027,10179772,9120232,11738,4693295,6040
LEANDER ISD,41543,1098,56150,12733,374903797,383781913,9534,237340044,5896
COUPLAND ISD,263,,53341,16238,2561235,2069103,11960,1039705,6010
FLORESVILLE ISD,4010,1041,55076,11292,39030433,39048618,9799,21050240,5282
LA VERNIA ISD,3356,1001,53750,11327,31134038,30866765,9613,17778304,5537
POTH ISD,909,1068,50801,18492,10788063,9796830,11649,5281304,6280
STOCKDALE ISD,813,1124,50064,14569,10205218,9394783,12060,5375060,6900
KERMIT ISD,1270,-1,56456,15405,17440237,19213468,15093,9736042,7648
WINK-LOVING ISD,407,995,60538,94549,22970287,8403197,20852,4351556,10798
ALVORD ISD,786,967,55135,15423,10108113,8919769,12616,4722325,6679
BOYD ISD,1228,973,53616,12390,14297176,13811771,10901,7114457,5615
BRIDGEPORT ISD,2027,1061,53572,13944,26177046,25024991,12207,13967619,6813
CHICO ISD,576,926,57569,15355,7623908,7490934,12783,4070409,6946
DECATUR ISD,3600,965,58431,15914,38366130,37381444,10975,20685113,6073
PARADISE ISD,1281,1039,54652,12755,13837208,12399055,10222,6930801,5714
SLIDELL ISD,383,1049,54681,14048,4440486,3746402,10922,1891982,5516
HAWKINS ISD,747,-1,50483,17375,9542550,9272591,14114,4982331,7583
MINEOLA ISD,1631,1044,52108,14510,22572811,20777196,13109,11950297,7540
QUITMAN ISD,1176,1077,50171,17815,19031883,13394539,11917,6806170,6055
YANTIS ISD,368,,46439,13305,4936276,4046420,10907,2355819,6350
ALBA-GOLDEN ISD,857,-1,51673,13680,11305682,10608738,12408,6495233,7597
WINNSBORO ISD,1532,-1,48754,21267,20610434,17374127,11859,9403583,6419
DENVER CITY ISD,1596,967,52984,16921,19264912,20899687,12869,11016868,6784
PLAINS ISD,410,,55179,29262,6451148,6392297,14866,3259172,7579
GRAHAM ISD,2293,1065,53486,13271,27643310,24174184,10626,14154642,6222
NEWCASTLE ISD,212,,55736,17174,3280326,3219501,15331,1902730,9061
OLNEY ISD,696,1046,48632,18880,12203200,10776772,15286,5984623,8489
ZAPATA COUNTY ISD,3284,-1,54608,11998,40846570,37143138,10676,20186764,5802
CRYSTAL CITY ISD,1779,862,50929,15386,24049138,22468366,12285,10066778,5504
