DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
BEAUMONT ISD,16729,985,52697,13636,198408673,188083234,11006,103284209,6044
SABINE PASS ISD,365,983,51920,23138,7236954,7114104,18335,3179014,8193
HAMSHIRE-FANNETT ISD,1953,971,48121,12285,21293333,22529199,11901,9465260,5000
JIM HOGG COUNTY ISD,1076,879,52994,16407,17252022,14194133,12473,7401317,6504
ALICE ISD,4359,-1,54263,12808,56472206,52406352,11215,27481077,5881
BEN BOLT-PALITO BLANCO ISD,495,,50127,14514,7069280,6051687,11616,3118027,5985
ORANGE GROVE ISD,1770,991,51591,12546,20186261,19068829,11132,11493059,6709
PREMONT ISD,695,831,55842,19758,12931555,10649045,15191,5331211,7605
LA GLORIA ISD,94,,58501,15596,1598536,1497861,14265,831210,7916
ALVARADO ISD,3595,975,60137,12685,37690970,38539302,10835,22081735,6208
BURLESON ISD,12693,1063,60465,12519,129071312,120858496,9661,68759602,5496
CLEBURNE ISD,7036,1012,63009,13154,76376722,73104540,10713,42051180,6162
GRANDVIEW ISD,1364,1210,55448,13570,16991185,15686062,11776,8777201,6589
JOSHUA ISD,5862,965,62212,12272,59834028,60284685,11017,35461389,6481
KEENE ISD,1016,1047,49027,16272,14603064,12137979,11291,7191840,6690
RIO VISTA ISD,817,1021,51499,15774,10542260,9707375,12607,5261458,6833
VENUS ISD,2300,979,50909,13576,26633321,24786683,11303,13422774,6121
GODLEY ISD,2598,946,50247,15419,32421144,31567638,12938,17531598,7185
ANSON ISD,739,1084,51903,15236,10173422,9489577,13403,5262744,7433
HAMLIN COLLEGIATE ISD,430,,47613,19822,8094574,6764499,15270,3834438,8656
HAWLEY ISD,765,-1,47414,14992,11065043,9358740,11998,5109237,6550
LUEDERS-AVOCA ISD,96,,47550,24823,2528243,2268123,21197,1343936,12560
STAMFORD ISD,620,892,50912,22460,12370912,10680753,17951,5663842,9519
KARNES CITY ISD,1048,1047,55851,23302,23300445,20761976,15873,13016690,9952
KENEDY ISD,733,,52962,20515,10665087,10405075,14352,5316347,7333
RUNGE ISD,217,905,51451,22204,3491525,3708942,16267,1899604,8332
FALLS CITY ISD,428,1063,56457,23724,5778029,5278762,13002,2814005,6931
CRANDALL ISD,5439,1026,56934,12258,51121310,50167468,10337,27853135,5739
FORNEY ISD,14314,1096,58686,11409,116419955,107617483,8458,62179275,4887
KAUFMAN ISD,4093,1005,56832,12630,45997181,41831412,10421,24855470,6192
KEMP ISD,1689,955,54854,13872,20892037,19428417,11782,11050847,6702
MABANK ISD,3653,1110,51977,12160,38493461,36723025,10368,19916514,5623
TERRELL ISD,4962,935,59246,18283,58484576,53886717,11412,27460896,5816
SCURRY-ROSSER ISD,1083,951,53761,14373,13483286,12831875,11992,7009617,6551
MEADOWLAND CHARTER DISTRICT,79,,52870,24400,2000807,1911220,23308,1097233,13381
BOERNE ISD,10268,1089,57423,11966,87595646,92138015,9652,51452418,5390
COMFORT ISD,1067,1016,53537,15481,13515325,12556881,11813,6852092,6446
KENEDY COUNTY WIDE CSD,101,,62393,23573,1794920,2349298,26397,1142198,12834
JAYTON-GIRARD ISD,169,,58842,57391,9391188,3652569,20753,1583542,8997
CENTER POINT ISD,535,909,55373,15839,8227031,7367717,13797,3709265,6946
HUNT ISD,208,,55975,17217,2853684,2933620,15944,1631890,8869
KERRVILLE ISD,4808,1009,55318,12114,51438668,47234968,9888,26392267,5525
INGRAM ISD,1172,1018,56281,15524,15574510,14063222,12831,7684044,7011
DIVIDE ISD,32,,53776,29217,642781,612001,27818,278541,12661
JUNCTION ISD,639,937,48513,15791,9390349,8062188,13459,4253163,7100
GUTHRIE CSD,132,,58293,26544,2340800,3225411,27104,1450249,12187
BRACKETT ISD,531,1043,52114,17618,9068693,7515914,14482,4250008,8189
KINGSVILLE ISD,2799,981,52756,14451,35235964,34034740,11942,17969425,6305
RICARDO ISD,622,,61401,14192,9251292,7751085,11852,4460555,6820
RIVIERA ISD,478,879,54703,14762,6398726,6601978,15177,3404784,7827
SANTA GERTRUDIS ISD,781,1099,58834,12589,9113283,8774137,11263,4436130,5695
KNOX CITY-O'BRIEN CISD,228,-1,51034,18920,4506423,4305802,18016,2181291,9127
MUNDAY CISD,379,-1,50660,17667,5925743,5647794,14902,3358639,8862
BENJAMIN ISD,133,-1,52416,22872,2751885,2097764,16013,1261822,9632
CHISUM ISD,1145,-1,52884,15741,13901318,12255247,11562,7181207,6775
PARIS ISD,3807,1067,48251,13000,46719684,44375606,11505,25734296,6672
NORTH LAMAR ISD,2380,1093,47587,13013,28191428,26316437,11146,15224131,6448
PRAIRILAND ISD,1089,-1,49703,12369,12298653,10737323,10384,6283445,6077
AMHERST ISD,126,,46894,18780,2437669,2328297,17773,1346994,10282
LITTLEFIELD ISD,1233,848,49382,13626,17238782,15881245,12535,9107338,7188
OLTON ISD,582,,46977,20748,8890731,8325100,14063,4215566,7121
SPRINGLAKE-EARTH ISD,296,-1,52033,16784,5115156,5590289,18269,3280074,10719
SUDAN ISD,483,,55871,18398,6973967,7242228,15119,3654391,7629
LAMPASAS ISD,3403,1102,53842,12590,39046184,38021425,11166,20498626,6020
LOMETA ISD,317,1038,47586,22798,6763893,4182846,13237,2426862,7680
COTULLA ISD,1172,888,49752,19302,19032505,20466797,16179,11070318,8751
HALLETTSVILLE ISD,1147,1004,51978,14618,12829859,12058626,10883,6265118,5654
MOULTON ISD,308,1033,52327,17468,4063925,3515425,12335,1972500,6921
SHINER ISD,704,1095,57276,19478,9345852,7350724,10592,3948980,5690
VYSEHRAD ISD,111,,52796,13289,1408785,1372833,12830,826224,7722
SWEET HOME ISD,136,,55493,15475,2170818,1622063,11343,910400,6366
EZZELL ISD,94,,51459,18150,1156823,1032179,13405,575364,7472
GIDDINGS ISD,1920,1010,53126,13189,22405165,20271780,10703,11882843,6274
LEXINGTON ISD,1093,958,53421,13051,13198224,11539732,10907,6479209,6124
DIME BOX ISD,181,795,49166,17097,2535353,2345134,14657,1118373,6990
BUFFALO ISD,1024,894,52071,14685,12564736,10589820,11194,5714527,6041
CENTERVILLE ISD,711,975,50908,16120,9135707,9229988,14399,5008479,7814
NORMANGEE ISD,625,1007,49743,15154,7532573,7000030,11864,3708354,6285
OAKWOOD ISD,233,925,47691,18675,3049743,2985395,15549,1733169,9027
LEON ISD,717,973,57525,44285,9870898,8856973,12050,4685735,6375
CLEVELAND ISD,10851,848,60420,12923,103299889,100150773,11291,60683248,6841
DAYTON ISD,5603,930,58175,11378,55714149,55283923,10103,28992954,5298
DEVERS ISD,216,,73462,16117,3099179,2321170,11323,1259104,6142
HARDIN ISD,1280,915,49991,12417,13678319,15212497,12439,7792261,6371
HULL-DAISETTA ISD,433,905,50476,19259,8702080,6901346,15003,3561120,7742
LIBERTY ISD,2244,976,58413,15223,30178908,27459418,12352,14585788,6561
TARKINGTON ISD,1809,957,58215,13200,20352768,19416560,11322,10828570,6314
COOLIDGE ISD,302,-1,55691,18553,5460375,4189612,13603,2450329,7956
GROESBECK ISD,1543,1056,56242,14651,18449776,18645535,12259,9541896,6273
MEXIA ISD,1855,,50013,14284,25173429,22991922,12489,12249931,6654
BOOKER ISD,355,,48673,15664,5633943,5294657,14626,2942862,8129
FOLLETT ISD,176,,46527,16118,2503566,2343938,13788,1323810,7787
DARROUZETT ISD,149,,46892,19373,2296132,2230937,16166,1170405,8481
GEORGE WEST ISD,1036,1009,54689,13759,12283343,12003790,11632,6820641,6609
THREE RIVERS ISD,573,912,57506,22153,9925209,9217293,16314,4890376,8656
LLANO ISD,1881,1027,57017,18539,23222982,21839453,12646,11405586,6604
TEXAS TECH UNIVERSITY K-12,977,1208,,,,,,,
RISE ACADEMY,305,,50933,11358,3146070,2874424,10377,1908296,6889
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,178,-1,44246,11575,2222468,1868741,9733,941892,4906
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,185,,48968,18272,2704187,2639218,17833,1519661,10268
LUBBOCK ISD,25551,933,51828,13051,322017572,299503819,11386,173197616,6584
NEW DEAL ISD,725,902,50271,13903,10395282,8706621,11547,4958961,6577
SLATON ISD,1279,901,47957,17074,20787577,18813058,14252,10240496,7758
LUBBOCK-COOPER ISD,7575,1054,50681,12469,68967968,67644253,9534,39124848,5514
FRENSHIP ISD,10860,990,52214,12672,99537112,96936980,9376,54819550,5302
ROOSEVELT ISD,1110,948,45414,18345,15729780,13206192,13063,7151863,7074
SHALLOWATER ISD,1745,1033,51844,13335,20422367,19432924,11588,10759273,6416
IDALOU ISD,1003,1006,49536,13206,11841221,10864062,11329,6445588,6721
O'DONNELL ISD,296,,51607,19176,4721417,4967490,16669,2576238,8645
TAHOKA ISD,597,-1,51600,19454,9789769,8954210,14999,5081816,8512
NEW HOME ISD,586,1017,48649,12326,6631953,5406554,9419,3103675,5407
WILSON ISD,126,,42658,33447,3840662,2215001,16407,1180197,8742
MADISONVILLE CISD,2315,986,59306,12579,27360050,27063612,11818,14514618,6338
NORTH ZULCH ISD,315,1011,51281,16725,4535717,4264631,14263,2262989,7569
JEFFERSON ISD,1160,-1,52997,15900,18871868,15206764,12424,8413352,6874
STANTON ISD,1101,938,56704,26879,16669876,15262188,14563,8560071,8168
GRADY ISD,249,1018,64715,97865,8705654,4855784,21486,2057628,9105
MASON ISD,755,1119,51652,14380,9648086,9106719,12755,5114038,7163
BAY CITY ISD,3508,1017,58211,15509,41039324,45133537,12778,22319246,6319
TIDEHAVEN ISD,1007,1045,60495,16567,12859749,12551225,13212,6342706,6677
MATAGORDA ISD,101,,49199,20384,1847991,1702723,16063,908830,8574
PALACIOS ISD,1320,1066,57358,16413,19521716,17362148,13213,8752612,6661
VAN VLECK ISD,1077,969,64621,21476,16682310,15493019,14713,8017029,7614
EAGLE PASS ISD,13358,991,62115,16185,183948028,154064058,11001,84839859,6058
BRADY ISD,960,897,50283,17747,15443619,14539390,14701,7373892,7456
ROCHELLE ISD,194,-1,53127,15733,2914484,2730894,14005,1450943,7441
LOHN ISD,125,-1,57133,25758,2369075,2028630,19889,1053812,10331
WACO CHARTER SCHOOL,193,,51971,12652,2801523,2685030,12040,1430657,6416
RAPOPORT ACADEMY PUBLIC SCHOOL,855,949,44855,13348,10958767,11160672,13594,7330953,8929
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,9866,1043,61902,11593,116797808,100513766,9988,57639861,5728
CRAWFORD ISD,558,-1,50998,15067,7888606,6372833,11360,3656593,6518
MIDWAY ISD,8394,1129,52617,11868,81858226,80101864,9729,47613401,5783
LA VEGA ISD,3089,911,54023,12616,35850253,35376528,11531,18022038,5874
LORENA ISD,1764,1064,54355,11770,18401887,17827509,10257,9875398,5682
MART ISD,533,967,53942,15594,7668120,7155083,13250,3783697,7007
MCGREGOR ISD,1492,1107,54932,14314,19004692,17536338,11865,10349539,7002
MOODY ISD,687,979,54912,15586,9698522,8760355,13213,4640408,6999
RIESEL ISD,620,941,50827,15512,7670538,6694102,10330,3604983,5563
WACO ISD,14066,1039,55644,14599,193499677,183143809,12719,102042157,7087
WEST ISD,1234,987,55792,12674,14895515,14730682,11710,7584424,6029
AXTELL ISD,757,1104,53567,14918,11390493,11900636,15496,6437424,8382
BRUCEVILLE-EDDY ISD,609,1162,51660,16220,9068591,8768807,14305,4974161,8114
CHINA SPRING ISD,2951,1071,52721,11342,28795528,28084280,9806,16726132,5840
CONNALLY ISD,2270,919,51469,13176,28709571,27129427,11589,15158804,6475
ROBINSON ISD,2400,1035,52665,18085,25938518,25387779,10574,14780081,6156
BOSQUEVILLE ISD,699,1064,54498,14722,10104768,8660541,11880,5285802,7251
HALLSBURG ISD,162,,59813,14002,2154721,2019279,12313,1143151,6970
GHOLSON ISD,231,-1,51693,14612,3156391,2708144,12423,1541955,7073
MCMULLEN COUNTY ISD,283,,63276,42705,6086237,6033163,22596,2864536,10729
DEVINE ISD,1961,1008,55620,11700,21886644,20748329,10484,11470044,5796
D'HANIS ISD,296,1130,56284,23343,4715471,4739589,15046,2708845,8600
NATALIA ISD,1143,888,54468,14613,13931320,13706294,13385,7245987,7076
HONDO ISD,1767,1066,52709,13389,19592044,19436897,10703,11326577,6237
MEDINA VALLEY ISD,6757,1077,61549,12152,62086452,60696264,9936,33799909,5533
MENARD ISD,297,,48266,19811,5510229,5241331,18786,2084773,7472
MIDLAND ACADEMY CHARTER SCHOOL,363,,60402,11488,4250391,3653441,9874,2242949,6062
MIDLAND ISD,26387,987,63982,13377,312243636,276290764,10813,165545152,6479
GREENWOOD ISD,3081,956,61420,14433,35883642,30975510,10922,18283251,6447
CAMERON ISD,1569,941,52568,12638,18586893,16943481,10408,9221370,5664
GAUSE ISD,163,,53976,17135,2812052,1988538,11979,1232575,7425
MILANO ISD,409,1011,51576,17022,6197257,5992374,15132,3106826,7846
ROCKDALE ISD,1416,944,51088,15830,20379074,18872809,13070,10240539,7092
THORNDALE ISD,594,1009,54267,14377,8252434,7182975,12514,3952613,6886
BUCKHOLTS ISD,140,845,51043,18876,2549375,2404938,17056,1099383,7797
GOLDTHWAITE ISD,532,-1,50246,20996,8737552,9334277,18160,5404784,10515
MULLIN ISD,195,,53292,23602,5031037,5383075,24922,2987749,13832
PRIDDY ISD,123,1048,51726,20969,2205255,2126335,18330,1204746,10386
COLORADO ISD,872,,49645,16640,12469894,10434358,11790,5837158,6596
LORAINE ISD,133,,48836,22731,2383857,2398036,16888,1223209,8614
WESTBROOK ISD,258,,58883,14895,3227871,4055983,17868,2019905,8898
BOWIE ISD,1685,970,49908,13926,18654950,16876942,9998,9870368,5847
NOCONA ISD,805,-1,47787,15149,12176828,10136011,12607,5700429,7090
GOLD BURG ISD,144,-1,50398,20968,2273180,2168437,16304,1229722,9246
MONTAGUE ISD,148,,51595,17301,2593600,1677364,11108,943192,6246
PRAIRIE VALLEY ISD,147,,56675,16539,2476736,2081848,13696,1202065,7908
FORESTBURG ISD,175,-1,47981,16986,2475636,2568633,15856,1555872,9604
SAINT JO ISD,322,1021,47188,18602,4752299,3858083,12094,2073601,6500
TEXAS SERENITY ACADEMY,341,,59822,16349,6833752,6835474,16353,3047649,7291
CONROE ISD,67490,1120,62882,11520,635907305,610694232,9498,372217307,5789
MONTGOMERY ISD,9328,1036,61899,12300,85018018,82209369,9233,47908083,5381
WILLIS ISD,8395,907,59499,11994,81045501,71753707,9148,40169672,5121
MAGNOLIA ISD,13613,1029,59828,12837,141690838,138601559,10618,82740891,6338
SPLENDORA ISD,4362,912,61009,13146,47420943,47344484,11422,26400781,6369
NEW CANEY ISD,17098,1023,64693,13813,185901256,182960452,11256,103819539,6387
DUMAS ISD,4268,-1,53835,12731,44704983,44064327,10595,26607713,6398
SUNRAY COLLEGIATE ISD,618,-1,48893,16605,8027652,8213874,13898,4369706,7394
DAINGERFIELD-LONE STAR ISD,994,963,52353,16092,15666824,13392156,12706,6710626,6367
PEWITT CISD,866,,48661,13718,11562533,10822877,12599,5497448,6400
MOTLEY COUNTY ISD,157,,52393,20042,3306476,3404096,20384,1683877,10083
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,256,,45427,9676,2467267,2286403,8966,1392855,5462
CHIRENO ISD,407,882,54594,15353,6004142,4743502,12039,2906713,7377
CUSHING ISD,554,1023,51439,17385,8069958,6369333,11096,3430427,5976
GARRISON ISD,748,1043,51693,12871,8783543,7163217,10397,4115211,5973
NACOGDOCHES ISD,5883,971,48306,12425,67341075,67838725,11463,38044762,6429
WODEN ISD,759,920,53001,13854,9930439,8827317,11569,5204187,6821
CENTRAL HEIGHTS ISD,1137,1040,50357,14105,14442008,12684604,11235,8310329,7361
MARTINSVILLE ISD,344,,49878,18213,5081917,4317057,12735,2514368,7417
ETOILE ISD,93,,49579,19190,1568060,1754224,19277,881839,9691
DOUGLASS ISD,456,1089,50874,11983,5439378,4735537,10385,2861606,6275
BLOOMING GROVE ISD,903,949,45845,19722,11139923,10213316,11386,5761039,6423
CORSICANA ISD,5996,929,55409,12465,68049592,66519809,10986,38630849,6380
DAWSON ISD,525,,53058,17366,8203422,7464167,14693,3897490,7672
FROST ISD,435,1082,52955,14908,5752730,5551411,12821,2929559,6766
KERENS ISD,552,914,53860,16584,8171336,7867813,13827,4158518,7308
MILDRED ISD,831,1012,55037,14918,9607300,7960436,10628,4695175,6269
RICE ISD,993,963,50312,15378,13461310,10753196,11109,5604019,5789
BURKEVILLE ISD,232,872,55186,18573,4751258,4194535,15593,1972719,7334
NEWTON ISD,958,925,45621,16575,15237901,14283425,14756,7211870,7450
DEWEYVILLE ISD,529,961,52872,41510,6559171,6937259,12991,3557946,6663
ROSCOE COLLEGIATE ISD,3076,915,50036,29616,17494876,14777898,21700,11540745,16947
SWEETWATER ISD,2052,,53993,14982,27939814,26603113,12815,14743126,7102
BLACKWELL CISD,155,959,56121,39273,5623827,3942004,23464,1838810,10945
HIGHLAND ISD,225,,50233,24365,4366272,3909585,17934,1914562,8782
DR M L GARZA-GONZALEZ CHARTER SCHOOL,166,,43504,14006,3095381,2744278,12418,1125576,5093
CORPUS CHRISTI MONTESSORI SCHOOL,121,,46869,11579,1343192,1204291,10382,674277,5813
SEASHORE CHARTER SCHOOLS,495,,42188,9411,4696310,4317839,8653,2539693,5090
AGUA DULCE ISD,400,-1,58159,15576,5831899,5205555,12885,2867080,7097
BISHOP CISD,1457,1060,56647,14976,20339132,18393853,11836,8979233,5778
CALALLEN ISD,3856,958,56593,13179,45986039,44355686,11244,25291378,6411
CORPUS CHRISTI ISD,33107,991,56921,13121,361891472,368254861,10698,206415129,5997
DRISCOLL ISD,272,,54804,17967,4593752,4456737,15529,2287786,7971
LONDON ISD,1427,1184,52350,11650,12560960,11784165,9214,5947359,4650
PORT ARANSAS ISD,524,1143,57173,20643,8458071,8486607,16906,4218421,8403
ROBSTOWN ISD,2479,,50917,14949,34115960,32581303,12526,16133428,6203
TULOSO-MIDWAY ISD,3745,1039,53397,15313,45576918,40937844,10669,22568802,5882
BANQUETE ISD,858,-1,53782,15915,11289828,11905938,13925,6495809,7597
FLOUR BLUFF ISD,5523,1110,55526,13464,51844234,53500677,9682,29863101,5404
WEST OSO ISD,1964,931,55955,12284,21490723,23796574,12049,13449293,6810
PERRYTON ISD,2046,-1,49545,12137,23527913,23441348,11031,13145166,6186
BOYS RANCH ISD,178,1028,59329,41572,8563886,7077075,34355,4630122,22476
VEGA ISD,368,1045,50683,19852,5439278,5443622,15121,3068634,8524
ADRIAN ISD,113,880,46259,25705,2306313,2635250,21600,1378436,11299
WILDORADO ISD,230,,45383,24730,3697960,2401849,11120,1240998,5745
BRIDGE CITY ISD,3090,1003,52280,11372,29634990,26937364,8926,14753141,4888
ORANGEFIELD ISD,1843,972,51769,11650,20070782,19260200,10784,10045772,5625
WEST ORANGE-COVE CISD,2555,889,53564,17504,34055131,30230670,12001,15440309,6130
VIDOR ISD,4254,979,54525,11969,49318201,47669690,11269,26700236,6312
LITTLE CYPRESS-MAURICEVILLE CISD,3223,1033,50440,12947,34802525,33472153,10516,18123625,5694
GORDON ISD,264,992,53328,16617,3093831,2771614,12598,1391854,6327
GRAFORD ISD,321,-1,58097,16947,4579989,4238570,13413,2336452,7394
MINERAL WELLS ISD,3228,999,60468,13910,38213340,37647550,12105,22193478,7136
SANTO ISD,496,1071,51740,14218,6356935,5987219,13305,2976865,6615
STRAWN ISD,162,943,56027,16740,2352778,2310491,16271,1257334,8854
PALO PINTO ISD,84,,48412,23251,1665161,1501747,17878,797270,9491
PANOLA CHARTER SCHOOL,209,,36081,11326,2163349,1628459,8526,596335,3122
