DISTRICT NAME,TOTAL STUDENTS,DISTRICT ACCOUNTABILITY RATINGS,4-YR LONGITUDINAL GRADUATION RATE DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED,COLLEGE ADMISSIONS: % AT/ABOVE CRITERION,ATTENDANCE RATE 
LEADERSHIP PREP SCHOOL,1344,B,,87,65,35,76,39,18,66.7,54.3,98.3
TRIVIUM ACADEMY,553,B,,88,69,43,83,54,29,,,96.8
DENTON ISD,31771,B,97.6,76,54,25,68,37,17,93.1,32.6,97
LEWISVILLE ISD,49113,B,96.6,84,66,37,79,52,28,70.5,59,96
PILOT POINT ISD,1430,B,96.4,75,52,23,72,35,13,56.5,37.7,94.9
KRUM ISD,2217,B,98.1,75,54,25,75,41,18,75,36.7,96.4
PONDER ISD,1574,B,98.9,79,55,25,83,50,23,76.1,32.9,95.5
AUBREY ISD,3101,B,97.6,81,58,28,77,46,20,61.3,35.9,96
SANGER ISD,2746,B,95.8,82,59,27,79,43,17,62.6,23.5,95.2
ARGYLE ISD,4314,A,100,93,78,44,93,73,44,71,66.1,96.9
NORTHWEST ISD,27479,B,97,83,63,32,79,49,23,87.2,47.4,96.4
LAKE DALLAS ISD,3999,B,98.5,76,52,22,71,34,13,51,44.7,96
LITTLE ELM ISD,8245,C,93.8,73,49,23,67,33,14,98.5,23.1,97.2
CUERO ISD,1920,A,99.3,74,50,20,73,40,16,33.1,24.5,93.6
NORDHEIM ISD,148,B,100,75,55,33,77,44,23,11.1,-1,96.7
YOAKUM ISD,1496,B,99.2,77,53,22,84,52,25,21.5,30.8,94.4
YORKTOWN ISD,535,C,100,67,39,15,65,30,10,87.1,18.5,94.5
WESTHOFF ISD,71,A,,94,79,47,88,68,32,,,98.4
MEYERSVILLE ISD,144,A,,93,70,51,93,60,30,,,97.2
SPUR ISD,221,B,100,79,62,31,76,42,20,85,17.6,94.6
PATTON SPRINGS ISD,86,A,-1,79,57,23,85,55,25,-1,-1,96.2
CARRIZO SPRINGS CISD,1920,B,94.6,65,41,15,64,31,11,27.9,31.6,91.1
CLARENDON ISD,456,B,91.3,83,62,31,83,54,25,100,19,94.3
HEDLEY ISD,124,A,100,86,59,28,81,60,24,100,8.3,96.5
RAMIREZ CSD,26,C,,57,36,21,50,29,14,,,93.8
BENAVIDES ISD,233,C,96.8,74,50,16,49,18,4,48,8.3,90.9
SAN DIEGO ISD,1453,B,88.2,65,40,15,66,36,15,85,5.9,90.3
FREER ISD,760,B,89.1,69,42,14,67,30,10,44,18.2,95.7
CISCO ISD,812,B,100,90,68,36,86,52,27,71.9,12.2,96.5
EASTLAND ISD,1078,B,99,81,56,23,77,39,14,48.4,39.1,96.3
GORMAN ISD,265,B,100,74,52,24,70,40,15,92.3,0,96
RANGER ISD,333,C,95.5,62,36,10,55,23,6,4.8,-1,88.5
RISING STAR ISD,191,B,93.3,66,40,19,55,25,9,53.3,37.5,94.7
COMPASS ACADEMY CHARTER SCHOOL,1371,C,,83,56,28,76,40,15,,,95.9
UTPB STEM ACADEMY,763,B,,87,59,28,77,40,18,61.7,34.5,97.1
ECTOR COUNTY ISD,31762,B,85.5,61,36,15,61,30,12,69.4,16.4,92.4
ROCKSPRINGS ISD,257,B,96.2,62,40,13,55,17,6,100,12.5,95.2
NUECES CANYON CISD,254,A,90,86,64,28,70,40,18,90,0,95.8
WAXAHACHIE FAITH FAMILY ACADEMY,2582,Not Rated: Senate Bill 1365,96.5,46,23,8,44,15,5,97.1,2.3,95.4
AVALON ISD,339,B,100,69,40,14,65,29,6,68.8,27.3,98.1
ENNIS ISD,5999,B,94,71,45,20,73,41,18,32.4,33.1,93.3
FERRIS ISD,2625,B,94.9,72,45,17,73,34,13,44.1,8,94
ITALY ISD,647,C,88.6,68,44,17,66,31,10,76.9,20,94.2
MIDLOTHIAN ISD,10391,B,95,81,57,26,82,52,25,75.5,36.8,96.6
MILFORD ISD,238,B,100,73,35,17,48,22,10,31.8,14.3,95.7
PALMER ISD,1252,A,97.5,84,60,31,85,57,23,70.9,39.3,95.7
RED OAK ISD,6287,B,91.7,74,48,21,71,43,19,80.5,21,96.6
WAXAHACHIE ISD,10065,B,95.7,78,54,24,73,41,17,53.6,42.9,94.6
MAYPEARL ISD,1176,B,94.7,76,53,23,77,44,14,69.2,50.8,95.1
BURNHAM WOOD CHARTER SCHOOL DISTRICT,1376,A,89.7,80,56,24,80,48,24,66.7,20.8,94.8
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,198,A,83,70,53,5,100,59,18,7.5,16.7,88.8
EL PASO ACADEMY,272,A,60,72,49,4,91,43,19,0,,75.9
HARMONY PUBLIC SCHOOLS - WEST TEXAS,4569,A,98.3,80,56,27,78,46,21,44.9,67.9,97.8
LA FE PREPARATORY SCHOOL,190,A,,66,40,29,79,50,23,,,91.5
VISTA DEL FUTURO CHARTER SCHOOL,340,B,,78,56,35,69,34,18,,,97.9
EL PASO LEADERSHIP ACADEMY,266,Not Rated: Senate Bill 1365,,59,26,12,57,16,4,,,94.2
CLINT ISD,10455,B,93.7,65,38,14,64,29,11,36.8,16.4,97.7
EL PASO ISD,50709,B,84.3,72,49,21,71,38,17,100,22.8,94.8
FABENS ISD,1983,B,83.9,60,32,11,68,32,12,42.7,9.4,97.6
SAN ELIZARIO ISD,3190,B,86.3,62,38,12,64,28,9,28.4,17.5,95.4
YSLETA ISD,37211,A,88,75,51,22,77,44,21,92.1,14.4,96.8
ANTHONY ISD,798,A,87.8,76,47,19,78,38,13,100,4.2,93.1
CANUTILLO ISD,6076,A,94.5,75,52,23,73,40,18,79.1,13.6,97.9
TORNILLO ISD,887,B,88.1,61,34,11,58,22,7,53.9,12.2,93.7
SOCORRO ISD,47137,B,91.3,77,52,22,75,39,16,96.8,17.5,97.9
PREMIER HIGH SCHOOLS,6822,Not Rated: Data Under Review,54,66,47,5,53,19,8,14.8,12.9,86.8
ERATH EXCELS ACADEMY INC,94,B,68.9,84,52,3,91,27,0,0,,86.1
THREE WAY ISD,236,C,,67,33,11,58,19,6,15.4,-1,94.5
DUBLIN ISD,1087,A,100,89,67,32,90,59,29,63.2,39.5,95.3
STEPHENVILLE ISD,3688,A,95.7,81,59,30,81,52,29,54.2,44.3,95
BLUFF DALE ISD,227,C,100,87,63,27,80,41,16,11.8,-1,96.6
HUCKABAY ISD,304,A,90.9,90,70,30,88,54,26,66.7,33.3,96.8
LINGLEVILLE ISD,284,A,100,88,65,22,83,48,24,21.1,-1,95.9
MORGAN MILL ISD,118,B,,91,67,33,78,38,16,,,97.3
CHILTON ISD,546,A,97.4,85,51,23,72,31,9,85.7,10,95.9
MARLIN ISD,882,B,97.8,55,29,13,56,27,11,25,18.2,91.5
WESTPHALIA ISD,155,A,,93,74,47,97,73,45,,,97.7
ROSEBUD-LOTT ISD,716,B,96.2,72,49,18,66,32,15,42.9,14.3,95.2
BONHAM ISD,1885,C,93.9,73,47,19,69,35,14,54.2,37.9,94.8
DODD CITY ISD,328,A,100,85,62,31,80,48,20,79.2,15.8,97.5
ECTOR ISD,234,C,100,60,37,10,67,25,8,81,41.2,94.5
HONEY GROVE ISD,640,A,100,81,59,29,86,55,29,47.6,45,95.7
LEONARD ISD,825,B,98.5,77,51,22,79,35,13,60,16.7,94.9
SAVOY ISD,303,B,100,87,63,34,76,38,20,42.1,25,96
TRENTON ISD,725,B,98,80,54,19,73,35,11,72,19.4,95.7
SAM RAYBURN ISD,517,A,100,86,67,28,82,47,24,40.7,45.5,95.6
FLATONIA ISD,629,A,97.5,92,72,34,96,75,42,87.9,55.2,95.4
LA GRANGE ISD,1868,B,97.5,77,51,23,76,42,14,66.5,42.7,95.3
SCHULENBURG ISD,696,B,95.9,75,50,17,75,42,16,51.1,58.3,96.6
FAYETTEVILLE ISD,279,A,100,90,67,29,83,48,20,0,,96.3
ROUND TOP-CARMINE ISD,240,A,100,88,72,42,93,71,39,68.4,38.5,96.8
ROBY CISD,329,B,100,71,48,20,57,28,13,94.1,12.5,97.3
ROTAN ISD,242,A,100,86,58,21,88,57,24,100,33.3,96.1
FLOYDADA COLLEGIATE ISD,686,B,97.9,73,43,16,73,41,20,50,26.1,94.7
LOCKNEY ISD,430,B,91.4,67,38,13,66,30,10,84.8,3.6,94.9
CROWELL ISD,192,B,100,81,48,23,70,34,14,91.7,9.1,94.8
LAMAR CISD,38877,A,94.4,83,64,34,82,55,29,94.1,34.9,96.9
NEEDVILLE ISD,3378,A,98.4,88,67,33,90,61,31,74.1,32.3,96.2
FORT BEND ISD,76543,B,94.7,81,62,34,76,50,28,79.8,52.9,96.3
STAFFORD MSD,3511,B,95.5,70,47,21,69,33,15,96.2,12.3,94.2
MOUNT VERNON ISD,1523,A,95.8,82,54,26,82,50,23,70.2,21.2,94.7
FAIRFIELD ISD,1681,B,89.4,76,52,24,71,38,17,65.7,28.4,95.3
TEAGUE ISD,1181,A,97.3,81,53,20,80,47,20,23.5,29.6,94.1
WORTHAM ISD,520,B,100,71,41,18,67,29,11,8.6,-1,95.1
DEW ISD,133,B,,91,66,39,79,51,16,,,96.5
DILLEY ISD,907,B,96.9,62,38,14,58,21,8,57.4,14.3,90.4
PEARSALL ISD,2031,B,97.2,58,33,11,43,16,6,19.6,3.3,95.1
SEAGRAVES ISD,516,B,97,61,30,10,55,25,11,56.7,5.9,94.3
LOOP ISD,150,A,100,86,64,31,82,49,26,66.7,-1,95.9
SEMINOLE ISD,2957,A,95.2,75,51,25,81,53,30,37.4,38.9,93.8
ODYSSEY ACADEMY INC,1492,B,100,67,41,19,53,20,9,80,33.3,96.4
AMBASSADORS PREPARATORY ACADEMY,189,A,,85,55,28,74,37,12,,,96.9
DICKINSON ISD,11901,B,92.8,71,45,19,72,39,16,40.7,24.1,93
GALVESTON ISD,6650,B,84.9,70,48,21,65,33,17,22.9,47.5,92.6
HIGH ISLAND ISD,158,A,100,85,56,18,86,46,19,100,17.6,92.2
TEXAS CITY ISD,7756,B,84.5,64,39,16,62,31,14,24.6,20.3,91.9
HITCHCOCK ISD,1715,B,97.5,65,38,15,59,27,12,53.2,9.5,92.1
SANTA FE ISD,4325,B,92.6,75,51,24,72,40,18,29.7,33.3,95.2
CLEAR CREEK ISD,40235,B,97.5,83,64,34,81,52,26,90.2,46.9,95.7
FRIENDSWOOD ISD,6155,A,99.6,92,77,43,93,72,41,77.6,67.8,96.2
POST ISD,784,B,92.8,72,41,14,69,35,14,35.9,21.7,94.4
SOUTHLAND ISD,114,C,100,68,48,19,57,24,12,100,0,96.3
DOSS CONSOLIDATED CSD,24,B,,100,50,25,100,75,38,,,95.2
FREDERICKSBURG ISD,3100,C,96.9,74,53,24,71,42,19,47.6,40.7,94.2
HARPER ISD,559,A,95.5,81,58,26,84,51,27,82.5,21.2,96.8
GLASSCOCK COUNTY ISD,293,A,100,92,78,40,94,71,42,100,30.4,98.1
GOLIAD ISD,1283,B,97.8,74,50,23,71,36,14,57.8,42.3,94.7
GONZALES ISD,2613,B,91.6,64,38,15,62,31,12,34.8,23.1,92.4
NIXON-SMILEY CISD,1064,B,100,78,54,25,72,43,19,39.2,20.7,94.6
WAELDER ISD,304,B,93.3,64,43,17,57,19,6,66.7,0,92.9
LEFORS ISD,176,C,100,67,33,16,66,30,16,100,20,96.6
MCLEAN ISD,185,A,100,77,47,17,82,48,23,50,20,95.7
PAMPA ISD,3451,B,91,67,42,18,68,36,16,49.6,21.9,91.4
GRANDVIEW-HOPKINS ISD,46,B,,95,60,30,75,45,20,,,96.7
BELLS ISD,884,A,100,86,65,35,90,64,33,79.1,41.5,96.7
COLLINSVILLE ISD,556,C,100,73,46,17,71,34,10,90.4,14.9,96.2
DENISON ISD,4674,C,92.9,77,52,24,76,44,20,36,35.9,92.9
HOWE ISD,1248,A,100,84,62,28,82,51,21,63.9,41.3,94.4
SHERMAN ISD,7698,C,94.1,67,43,16,61,29,12,69.8,25.7,93.4
TIOGA ISD,706,B,97.5,85,61,26,83,48,22,47.5,26.3,96.1
VAN ALSTYNE ISD,2046,A,98.1,91,73,41,91,63,31,59.4,54,95.6
WHITESBORO ISD,1717,B,99,76,51,23,72,33,12,61.6,29.5,94.3
WHITEWRIGHT ISD,755,A,91.4,84,60,31,89,59,28,90.6,22.9,95.2
POTTSBORO ISD,1430,B,100,83,57,26,73,34,11,80.2,46.9,95.5
S AND S CISD,991,B,97,75,52,21,70,39,14,62.5,45,94.8
GUNTER ISD,1113,A,100,89,69,33,84,50,20,97,45.3,96.1
TOM BEAN ISD,657,B,95.9,78,51,23,82,52,22,31.9,6.7,94.4
EAST TEXAS CHARTER SCHOOLS,141,A,88.9,75,54,9,93,52,26,12.1,-1,94.9
GLADEWATER ISD,1703,B,91.3,70,44,16,65,33,11,18.4,11.1,93.5
KILGORE ISD,3887,B,92.6,71,48,21,68,35,14,62,23.4,94.7
LONGVIEW ISD,8223,A,98.3,78,56,27,80,53,29,53.5,30.5,97.3
PINE TREE ISD,4677,B,98.7,75,50,22,77,42,17,78.8,16.3,95.4
SABINE ISD,1531,A,97.2,84,62,30,82,50,25,40.6,46.5,95.6
SPRING HILL ISD,2028,A,98.3,85,64,31,83,54,27,42.7,56,95.9
WHITE OAK ISD,1458,A,100,84,64,30,85,52,20,70.2,37.3,94.9
ANDERSON-SHIRO CISD,886,A,100,88,67,30,92,64,31,78.9,26.8,94.1
IOLA ISD,539,A,96.9,88,68,40,86,58,34,36.4,50,96.4
NAVASOTA ISD,2953,B,94.7,65,40,17,68,33,12,55.9,15.2,93.2
RICHARDS ISD,213,B,94.1,76,48,24,56,26,6,29.4,20,98
SEGUIN ISD,7039,Not Rated: Senate Bill 1365,89.5,64,39,16,59,27,10,23.5,43.4,93
SCHERTZ-CIBOLO-U CITY ISD,15875,B,97.5,79,55,23,78,48,21,88.8,38.9,96.1
NAVARRO ISD,1971,B,99.3,83,60,28,82,51,21,34.5,56.3,94.9
MARION ISD,1471,B,98.9,79,58,26,78,46,21,84.6,28.6,95
ABERNATHY ISD,820,A,96.8,78,56,27,78,47,24,46.7,42.9,95.2
COTTON CENTER ISD,99,B,100,83,62,24,61,28,11,42.9,-1,97.9
HALE CENTER ISD,597,B,95.2,79,44,18,62,22,8,12.8,20,94.9
PETERSBURG ISD,274,A,100,80,57,28,90,52,20,78.9,20,95.8
PLAINVIEW ISD,4710,B,94.9,68,41,16,66,34,13,89.3,10.7,93.1
MEMPHIS ISD,431,B,100,74,47,17,77,40,18,78.6,0,94.6
TURKEY-QUITAQUE ISD,193,A,100,93,71,29,87,54,29,45,22.2,96.6
HAMILTON ISD,832,A,100,83,66,31,81,52,25,56.9,37.8,96.3
HICO ISD,603,B,100,87,66,28,82,40,17,48.3,28.6,95.8
GRUVER ISD,418,A,97.3,94,73,32,99,85,55,75,29.6,97.3
PRINGLE-MORSE CISD,128,B,,89,61,26,89,42,22,,,97.1
SPEARMAN ISD,783,A,100,86,63,29,85,61,34,94.7,14.8,97.1
CHILLICOTHE ISD,199,B,92.3,68,48,18,65,40,19,41.7,0,95.2
QUANAH ISD,497,A,96.9,82,55,28,83,45,22,40,25,95.3
KOUNTZE ISD,1125,B,89,72,46,20,77,44,20,76.8,11.3,96.9
SILSBEE ISD,2708,C,98.3,64,40,15,58,23,7,48.9,35.6,94.5
HARDIN-JEFFERSON ISD,2602,B,97.2,82,59,27,83,53,24,62.6,59.8,94
LUMBERTON ISD,4188,B,98,80,55,25,81,49,20,65.8,35.9,95.2
WEST HARDIN COUNTY CISD,568,B,97.1,77,56,20,75,38,13,5.9,-1,92.8
SER-NINOS CHARTER SCHOOL,1009,B,,71,46,24,72,36,14,,,95
ARISTOI CLASSICAL ACADEMY,1219,B,80,89,73,42,79,51,24,100,68,98.7
GEORGE I SANCHEZ CHARTER,947,B,83.2,46,25,5,44,9,1,17.4,0,97
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1563,A,92,73,48,23,75,43,21,91.7,4.5,95.2
ACADEMY OF ACCELERATED LEARNING INC,4,Not Rated,,-1,-1,-1,-1,-1,-1,,,99.3
EXCEL ACADEMY,217,Not Rated,0,0,0,0,14,0,0,,,97.5
THE VARNETT PUBLIC SCHOOL,1137,B,,72,41,21,68,35,15,,,93.2
ALIEF MONTESSORI COMMUNITY SCHOOL,349,B,,90,65,37,80,52,29,,,96.4
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,560,A,,88,64,31,91,67,39,,,98.2
HOUSTON HEIGHTS HIGH SCHOOL,175,A,77.9,52,23,0,65,27,13,43.4,2.8,93.9
HOUSTON GATEWAY ACADEMY INC,2082,A,96.3,95,80,47,96,82,54,84.6,47,96.5
CALVIN NELMS CHARTER SCHOOLS,304,A,100,94,76,35,88,54,26,90.5,15.8,98.6
SOUTHWEST SCHOOL,1526,B,71.8,55,27,11,60,28,12,39.5,12.5,95.3
TWO DIMENSIONS PREPARATORY ACADEMY,439,B,,71,46,26,37,13,6,,,95.3
COMQUEST ACADEMY,44,C,100,77,45,16,54,13,13,25,-1,98.5
YES PREP PUBLIC SCHOOLS INC,14557,B,94.4,70,45,16,72,37,16,100,38.6,94.5
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,3564,A,97.4,78,53,23,73,42,23,76.5,35.1,97.8
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,462,C,,78,55,28,64,33,14,,,97.8
ACCELERATED INTERMEDIATE ACADEMY,214,A,,83,56,27,83,50,30,,,99.7
PROMISE COMMUNITY SCHOOL,1722,C,,60,30,15,61,23,6,,,92.8
MEYERPARK ELEMENTARY,272,B,,76,49,25,48,18,7,,,92.8
DRAW ACADEMY,692,B,,61,32,16,52,21,8,,,98.5
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,5894,A,98.9,79,56,30,77,48,26,88.6,50,97.9
STEP CHARTER SCHOOL,558,A,,86,59,36,79,52,27,,,93.6
THE RHODES SCHOOL FOR PERFORMING ARTS,607,B,,69,40,20,65,31,10,,,94.7
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,4086,A,97.6,89,72,41,88,66,40,86.5,65.6,98.5
THE LAWSON ACADEMY,169,B,,65,38,22,50,16,6,,,94.7
THE PRO-VISION ACADEMY,397,Not Rated: Senate Bill 1365,88,36,15,4,19,3,2,7.1,-1,87.9
BETA ACADEMY,1298,A,,92,73,41,84,47,20,,,97.3
A+ UNLIMITED POTENTIAL,145,B,,81,49,32,59,33,16,,,92.6
ETOILE ACADEMY CHARTER SCHOOL,341,B,,69,47,28,60,30,10,,,96.8
YELLOWSTONE COLLEGE PREPARATORY,157,B,,76,41,20,57,23,9,,,89.7
LEGACY SCHOOL OF SPORT SCIENCES,369,B,,79,67,22,56,32,19,20.4,10,88.3
BLOOM ACADEMY CHARTER SCHOOL,193,Not Rated: Senate Bill 1365,,36,25,7,21,4,4,,,90.1
REVE PREPARATORY CHARTER SCHOOL,165,Not Rated: Senate Bill 1365,,67,33,14,59,18,2,,,92.2
ELEVATE COLLEGIATE CHARTER SCHOOL,55,Not Rated,,,,,,,,,,
HOUSTON CLASSICAL CHARTER SCHOOL,131,Not Rated,,,,,,,,,,93.2
ALDINE ISD,61528,C,83.1,59,33,12,53,22,9,86.4,11.7,93.6
ALIEF ISD,40642,B,88,64,41,17,63,33,14,92.4,22,93.4
CHANNELVIEW ISD,9503,B,92.2,68,42,16,69,34,14,77.2,15.9,91.2
CROSBY ISD,6465,B,93.6,74,49,21,76,45,20,97.1,19.8,96.7
CYPRESS-FAIRBANKS ISD,116913,A,92.6,83,63,33,78,50,26,94.1,26.6,94.8
DEER PARK ISD,12327,A,90.7,80,58,27,83,55,25,26.8,52.9,93.8
GALENA PARK ISD,21400,A,94,72,47,19,76,45,21,38.2,11.7,96.7
GOOSE CREEK CISD,23833,B,94.9,70,46,20,72,41,20,12.8,36.9,93.2
HOUSTON ISD,193727,B,85.7,70,49,24,67,38,19,62.8,28.5,93.7
HUMBLE ISD,47477,B,95.4,77,54,24,70,38,17,90.9,35.7,94.9
KATY ISD,88165,A,95,87,70,41,86,62,37,93.7,54.3,95.6
KLEIN ISD,53059,B,92.9,79,58,29,78,48,23,93.8,34.9,96.1
LA PORTE ISD,6925,B,93.2,77,52,23,77,41,18,61.5,24.7,92.4
PASADENA ISD,49255,B,90.9,71,45,18,70,37,16,85.2,19.1,93.9
SPRING ISD,33406,B,85.2,62,38,15,58,26,10,86.2,10.8,93.6
SPRING BRANCH ISD,33474,B,91.9,74,55,29,77,51,29,95.2,43,94.5
TOMBALL ISD,20184,A,97.1,90,73,43,90,68,39,92.3,51.3,95.6
SHELDON ISD,10565,B,92,63,37,14,61,28,11,81.6,8.1,94.2
HUFFMAN ISD,3565,B,98.7,74,49,20,73,40,17,31.5,35.6,94.1
KARNACK ISD,134,C,,70,39,22,72,30,9,,,93.6
MARSHALL ISD,5059,B,83.1,63,38,15,66,35,15,46.7,9.1,91.9
WASKOM ISD,845,B,100,77,52,20,80,42,18,57.1,5.6,95.2
HALLSVILLE ISD,19079,Not Rated: Data Under Review,72.9,70,45,16,49,23,11,17,37.9,98.5
HARLETON ISD,711,A,100,89,66,32,90,53,23,54.7,28.6,95.5
ELYSIAN FIELDS ISD,829,A,98.5,88,62,27,84,50,20,67.7,43.2,95.3
CHANNING ISD,163,B,100,72,54,26,71,38,14,-1,-1,96.4
HARTLEY ISD,232,A,100,90,72,38,93,65,44,26.7,-1,95.3
HASKELL CISD,537,A,93.3,80,54,24,74,42,21,61.4,22.2,95.5
RULE ISD,143,B,100,69,46,12,57,23,9,85.7,0,94
PAINT CREEK ISD,95,A,100,80,49,19,92,65,25,100,28.6,95.3
KATHERINE ANNE PORTER SCHOOL,74,C,66.7,76,64,14,59,18,0,21.7,40,87
TEXAS PREPARATORY SCHOOL,120,A,,68,51,22,69,36,5,,,93.9
KI CHARTER ACADEMY,281,Not Rated: Senate Bill 1365,20,14,14,0,14,0,0,-1,,96.4
SAN MARCOS CISD,8136,C,80.4,63,40,16,55,24,9,49.5,27.7,94.5
DRIPPING SPRINGS ISD,7859,A,98.6,91,73,40,90,62,30,80.3,66.2,96.9
WIMBERLEY ISD,2606,A,95.5,86,68,36,79,49,22,52.7,69,97.8
HAYS CISD,21345,B,92.1,76,54,25,73,43,20,60.2,30.2,91.8
CANADIAN ISD,839,A,100,88,63,24,88,59,30,98.5,30.3,95.3
ATHENS ISD,2955,B,95.1,70,47,22,67,37,17,27.3,41.5,94.1
BROWNSBORO ISD,2584,B,98.2,79,55,25,82,52,24,45.6,19.5,96
CROSS ROADS ISD,538,B,100,88,63,29,93,72,37,33.3,22.2,96.1
EUSTACE ISD,1650,B,96.7,84,59,27,79,44,16,20.7,40,96.4
MALAKOFF ISD,1420,A,96.4,88,65,31,86,53,22,97.5,26.9,96.3
TRINIDAD ISD,153,B,88.9,59,34,11,51,24,11,75,16.7,95.2
MURCHISON ISD,179,Not Rated: Senate Bill 1365,,75,44,15,69,30,11,,,96.1
LAPOYNOR ISD,491,B,100,81,60,21,72,36,12,39.1,55.6,96.1
HORIZON MONTESSORI PUBLIC SCHOOLS,1392,C,,77,48,27,59,30,11,,,96
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,484,A,81.5,58,34,3,77,25,9,0.6,-1,88.6
IDEA PUBLIC SCHOOLS,67988,B,98.6,82,59,30,76,43,21,100,24.7,98.6
VANGUARD ACADEMY,5364,A,100,84,60,31,76,42,20,49.3,27.1,98.4
EXCELLENCE IN LEADERSHIP ACADEMY,301,B,,66,44,16,60,26,8,,,95.2
DONNA ISD,13060,B,92.1,58,32,11,62,26,9,17.3,8.9,93.1
EDCOUCH-ELSA ISD,4140,B,93.2,63,38,13,57,23,8,70.6,7,90.7
EDINBURG CISD,32043,A,90.4,75,51,22,74,42,20,23.8,29.4,95.3
HIDALGO ISD,2836,A,89.7,69,47,21,73,40,19,60.5,5.9,97.4
MCALLEN ISD,20282,A,98.4,80,60,30,78,48,25,93.6,22.9,97.3
MERCEDES ISD,4416,B,92,61,33,11,58,23,7,33.5,16.7,94.9
MISSION CISD,13838,B,95.9,66,42,17,63,30,12,83.3,12.6,95.9
PHARR-SAN JUAN-ALAMO ISD,29242,A,96.7,71,47,19,71,39,19,9.9,13.4,95
PROGRESO ISD,1393,B,89.1,64,41,15,63,27,10,38.5,8.5,93.1
SHARYLAND ISD,9481,A,97.5,83,63,32,83,56,30,45.6,39.3,97.6
LA JOYA ISD,24024,B,85,65,41,17,73,41,19,44.5,9.2,96
WESLACO ISD,15581,B,92.6,70,45,18,69,36,16,79.7,9.1,94.4
LA VILLA ISD,557,Not Rated: Senate Bill 1365,95.1,65,35,14,47,18,6,0,,92.1
MONTE ALTO ISD,890,B,96.5,65,39,14,68,30,12,34.5,10.5,97.1
VALLEY VIEW ISD,3789,A,93.5,77,52,22,80,45,20,5.6,23.5,95.7
ABBOTT ISD,282,A,94.4,90,70,38,91,60,34,68.8,27.3,97.1
BYNUM ISD,181,A,100,84,60,30,89,61,25,100,7.7,97.2
COVINGTON ISD,301,B,100,83,54,24,68,23,4,100,15.8,96.8
HILLSBORO ISD,1930,B,96.9,79,51,23,76,43,21,69.8,13.6,95
HUBBARD ISD,440,B,100,79,57,28,71,34,16,34.6,44.4,95.8
ITASCA ISD,628,B,84.8,72,42,13,54,21,6,75.6,9.7,95.4
MALONE ISD,153,Not Rated: Senate Bill 1365,,63,40,22,62,31,12,,,97.2
MOUNT CALM ISD,193,B,90,70,33,13,73,41,18,100,18.2,96.9
WHITNEY ISD,1474,C,89.9,78,50,19,73,43,19,31.2,48.3,94.3
AQUILLA ISD,335,A,100,81,56,25,82,55,25,94.7,38.9,95.4
BLUM ISD,344,B,100,83,61,21,80,47,17,75,29.2,96.3
PENELOPE ISD,198,B,100,73,50,14,67,40,15,64.7,27.3,97.2
ANTON ISD,182,B,100,70,33,9,48,12,2,0,,95
LEVELLAND ISD,2746,B,97.6,73,43,16,72,33,12,85.3,10.3,95.1
ROPES ISD,514,A,96.3,88,68,32,89,51,23,81.5,50,96
SMYER ISD,416,A,94.9,84,61,27,75,47,20,89.2,21.2,95.6
SUNDOWN ISD,576,B,100,92,71,35,94,71,37,94.6,22.9,96.8
WHITHARRAL ISD,236,A,100,87,64,28,81,51,20,33.3,-1,96.2
LAKE GRANBURY ACADEMY CHARTER SCHOOL,51,Not Rated,,,,,,,,,,-1
GRANBURY ISD,7712,B,95.2,81,59,28,79,49,24,48.4,44.3,93.2
LIPAN ISD,447,A,96.8,84,63,29,81,47,20,20,66.7,96.3
TOLAR ISD,847,A,97.8,84,64,28,87,54,23,79.2,36.8,96
SULPHUR SPRINGS ISD,4329,B,92,73,51,24,77,47,24,44.2,32.2,94.7
CUMBY ISD,435,B,100,74,48,17,65,33,17,97,21.9,94.8
NORTH HOPKINS ISD,535,A,100,75,54,24,83,46,21,86.7,10.3,95.7
MILLER GROVE ISD,299,A,100,90,67,30,88,50,18,47.4,11.1,95.9
COMO-PICKTON CISD,724,B,97.8,80,51,21,72,38,17,51.1,25,95.2
SALTILLO ISD,244,A,100,90,56,18,88,57,17,50,22.2,97.6
SULPHUR BLUFF ISD,202,B,100,78,57,19,84,38,14,66.7,30,95.8
CROCKETT ISD,1190,C,96.4,65,37,13,55,20,9,42,20.6,93.7
