DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
MILLSAP ISD,3,1100,14833,13530458,"1,000 to 1,599"
ALEDO ISD,10,7325,12678,65897022,"5,000 to 9,999"
PEASTER ISD,3,1622,14549,18096447,"1,600 to 2,999"
BROCK ISD,4,2002,11839,17050411,"1,600 to 2,999"
GARNER ISD,1,244,19260,3215977,Under 500
BOVINA ISD,3,458,14652,6813047,Under 500
FARWELL ISD,3,585,16030,7780566,500 to 999
FRIONA ISD,4,1078,15410,14168844,"1,000 to 1,599"
LAZBUDDIE ISD,1,164,15084,2727748,Under 500
BUENA VISTA ISD,1,240,15339,3646001,Under 500
FORT STOCKTON ISD,5,2230,17304,30973350,"1,600 to 2,999"
IRAAN-SHEFFIELD ISD,3,323,23385,5518454,Under 500
BIG SANDY ISD,1,529,16173,7713892,500 to 999
GOODRICH ISD,3,244,18543,4485837,Under 500
CORRIGAN-CAMDEN ISD,3,817,17796,12865483,500 to 999
LEGGETT ISD,2,219,16834,3098599,Under 500
LIVINGSTON ISD,7,4013,13692,47151004,"3,000 to 4,999"
ONALASKA ISD,2,1213,14132,15482684,"1,000 to 1,599"
AMARILLO ISD,55,30748,11768,349860451,"25,000 to 49,999"
RIVER ROAD ISD,4,1340,13813,16357250,"1,000 to 1,599"
HIGHLAND PARK ISD,3,826,17381,11487958,500 to 999
BUSHLAND ISD,3,1546,12253,14889262,"1,000 to 1,599"
MARFA ISD,1,270,17737,4434813,Under 500
PRESIDIO ISD,3,1046,14654,14478024,"1,000 to 1,599"
RAINS ISD,4,1727,13060,19659722,"1,600 to 2,999"
CANYON ISD,19,10659,11253,97406531,"10,000 to 24,999"
REAGAN COUNTY ISD,3,812,24683,17354047,500 to 999
BIG SPRINGS CHARTER SCHOOL,2,202,16927,3944077,Under 500
LEAKEY ISD,1,328,18135,4413063,Under 500
AVERY ISD,2,358,16509,5269743,Under 500
RIVERCREST ISD,3,684,15599,9623667,500 to 999
CLARKSVILLE ISD,2,522,17379,7924315,500 to 999
DETROIT ISD,3,528,19740,9432066,500 to 999
PECOS-BARSTOW-TOYAH ISD,5,2671,18539,36985970,"1,600 to 2,999"
BALMORHEA ISD,1,148,36653,2890513,Under 500
AUSTWELL-TIVOLI ISD,2,131,27100,2720605,Under 500
WOODSBORO ISD,2,437,26972,9451375,Under 500
REFUGIO ISD,3,689,19981,12352673,500 to 999
MIAMI ISD,1,196,24355,2924604,Under 500
BREMOND ISD,3,496,14922,6280905,Under 500
CALVERT ISD,1,142,20636,2736663,Under 500
FRANKLIN ISD,3,1347,24092,15952798,"1,000 to 1,599"
HEARNE ISD,3,737,43149,16642525,500 to 999
MUMFORD ISD,2,611,15531,9551498,500 to 999
ROCKWALL ISD,22,17818,11903,155417324,"10,000 to 24,999"
ROYSE CITY ISD,9,7610,12661,70123693,"5,000 to 9,999"
BALLINGER ISD,5,837,16326,12892856,500 to 999
MILES ISD,4,486,15684,6733964,Under 500
WINTERS ISD,4,552,23880,7539540,500 to 999
OLFEN ISD,3,141,19878,2657750,Under 500
HENDERSON ISD,5,3410,12425,37535043,"3,000 to 4,999"
LANEVILLE ISD,1,156,17036,2776872,Under 500
LEVERETTS CHAPEL ISD,3,244,15313,3609345,Under 500
MOUNT ENTERPRISE ISD,2,467,15176,6017796,Under 500
OVERTON ISD,2,473,23058,7027854,Under 500
TATUM ISD,4,1470,13736,17588765,"1,000 to 1,599"
CARLISLE ISD,1,607,18477,9433874,500 to 999
WEST RUSK COUNTY CONSOLIDATED ISD,5,1038,13585,12717658,"1,000 to 1,599"
HEMPHILL ISD,3,901,16550,12155794,500 to 999
WEST SABINE ISD,2,559,14133,7457062,500 to 999
SAN AUGUSTINE ISD,2,662,19083,11680454,500 to 999
BROADDUS ISD,2,365,22520,7696716,Under 500
COLDSPRING-OAKHURST CISD,4,1586,13781,19514493,"1,000 to 1,599"
SHEPHERD ISD,4,1909,14039,25388429,"1,600 to 2,999"
ARANSAS PASS ISD,4,1674,13021,20100172,"1,600 to 2,999"
GREGORY-PORTLAND ISD,6,4717,24424,82943704,"3,000 to 4,999"
INGLESIDE ISD,5,1998,14438,26572819,"1,600 to 2,999"
MATHIS ISD,4,1441,18969,24334260,"1,000 to 1,599"
ODEM-EDROY ISD,4,837,17367,12779880,500 to 999
SINTON ISD,5,2027,16126,29306711,"1,600 to 2,999"
TAFT ISD,3,888,21069,17664411,500 to 999
SAN SABA ISD,3,730,14509,9463129,500 to 999
RICHLAND SPRINGS ISD,1,120,23197,2345921,Under 500
CHEROKEE ISD,1,126,19315,2467901,Under 500
SCHLEICHER ISD,3,499,14275,7331111,Under 500
HERMLEIGH ISD,1,258,15638,3302627,Under 500
SNYDER ISD,4,2551,13251,32832768,"1,600 to 2,999"
IRA ISD,1,275,17734,3428714,Under 500
ALBANY ISD,2,510,12849,6425136,500 to 999
MORAN ISD,1,114,20794,2387107,Under 500
CENTER ISD,5,2518,14301,32889261,"1,600 to 2,999"
JOAQUIN ISD,3,681,16502,9982735,500 to 999
SHELBYVILLE ISD,1,773,14297,10837098,500 to 999
TENAHA ISD,1,472,15133,7308765,Under 500
TIMPSON ISD,1,643,16894,10303667,500 to 999
EXCELSIOR ISD,1,68,19632,1368888,Under 500
TEXHOMA ISD,1,108,11031,1820732,Under 500
STRATFORD ISD,3,579,17031,9134084,500 to 999
CUMBERLAND ACADEMY,4,1926,11002,21554738,"1,600 to 2,999"
UT TYLER UNIVERSITY ACADEMY,3,853,10608,8773109,500 to 999
ARP ISD,3,923,15550,12287648,500 to 999
BULLARD ISD,6,2788,12927,29410573,"1,600 to 2,999"
LINDALE ISD,6,4244,12513,45767933,"3,000 to 4,999"
TROUP ISD,3,1050,13603,13365182,"1,000 to 1,599"
TYLER ISD,26,18126,13082,192825460,"10,000 to 24,999"
WHITEHOUSE ISD,7,4896,11525,47406456,"3,000 to 4,999"
CHAPEL HILL ISD,5,3393,12297,40194199,"3,000 to 4,999"
WINONA ISD,3,1077,16075,14886200,"1,000 to 1,599"
BRAZOS RIVER CHARTER SCHOOL,1,182,14180,2935160,Under 500
GLEN ROSE ISD,4,1982,15185,26519026,"1,600 to 2,999"
RIO GRANDE CITY GRULLA ISD,15,9007,14409,128052561,"5,000 to 9,999"
SAN ISIDRO ISD,2,190,19732,3680967,Under 500
ROMA ISD,10,5621,15362,83247376,"5,000 to 9,999"
BRECKENRIDGE ISD,4,1414,11472,16075189,"1,000 to 1,599"
STERLING CITY ISD,5,337,24208,6153529,Under 500
ASPERMONT ISD,2,184,18150,3231843,Under 500
SONORA ISD,2,684,15584,10387604,500 to 999
HAPPY ISD,2,259,13194,3549060,Under 500
TULIA ISD,3,943,16569,14351184,500 to 999
KRESS ISD,2,271,15607,3993284,Under 500
TREETOPS SCHOOL INTERNATIONAL,1,323,10721,3530927,Under 500
ARLINGTON CLASSICS ACADEMY,3,1526,9784,15087121,"1,000 to 1,599"
FORT WORTH ACADEMY OF FINE ARTS,2,653,9394,5964954,500 to 999
WESTLAKE ACADEMY CHARTER SCHOOL,1,877,11298,9592556,500 to 999
EAST FORT WORTH MONTESSORI ACADEMY,1,185,13351,2937200,Under 500
TEXAS SCHOOL OF THE ARTS,1,293,10350,2970388,Under 500
CHAPEL HILL ACADEMY,1,693,10294,7854030,500 to 999
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,7,3032,10604,32428107,"3,000 to 4,999"
HIGH POINT ACADEMY,3,1431,10681,16960717,"1,000 to 1,599"
ARLINGTON ISD,76,55594,12511,612109967,"50,000 and over"
BIRDVILLE ISD,32,22447,12567,236348140,"10,000 to 24,999"
EVERMAN ISD,10,5457,13865,71116992,"5,000 to 9,999"
FORT WORTH ISD,139,74326,14234,932700625,"50,000 and over"
GRAPEVINE-COLLEYVILLE ISD,21,13930,14894,146711627,"10,000 to 24,999"
KELLER ISD,42,34336,12292,351090436,"25,000 to 49,999"
MANSFIELD ISD,48,35240,11942,337665857,"25,000 to 49,999"
LAKE WORTH ISD,6,3632,16673,45642206,"3,000 to 4,999"
CROWLEY ISD,21,16227,13923,178345595,"10,000 to 24,999"
KENNEDALE ISD,6,2836,13654,34526316,"1,600 to 2,999"
AZLE ISD,12,6864,11420,69296403,"5,000 to 9,999"
HURST-EULESS-BEDFORD ISD,31,22814,13315,233239089,"10,000 to 24,999"
CASTLEBERRY ISD,8,3636,13278,45154836,"3,000 to 4,999"
EAGLE MT-SAGINAW ISD,29,22381,13391,224345137,"10,000 to 24,999"
CARROLL ISD,11,8382,14858,91767365,"5,000 to 9,999"
WHITE SETTLEMENT ISD,9,6981,11924,67944428,"5,000 to 9,999"
TEXAS COLLEGE PREPARATORY ACADEMIES,42,15236,10134,158650605,"10,000 to 24,999"
ABILENE ISD,27,15274,13199,179023889,"10,000 to 24,999"
MERKEL ISD,4,1082,12883,13085809,"1,000 to 1,599"
TRENT ISD,1,138,27433,3081672,Under 500
JIM NED CISD,4,1576,12397,16363522,"1,000 to 1,599"
WYLIE ISD,7,5097,10478,46135745,"5,000 to 9,999"
TERRELL COUNTY ISD,1,133,32170,2940721,Under 500
BROWNFIELD ISD,5,1640,15671,22002470,"1,600 to 2,999"
MEADOW ISD,1,270,17201,4475039,Under 500
WELLMAN-UNION CISD,1,284,18956,5134678,Under 500
THROCKMORTON COLLEGIATE ISD,1,156,23141,3213367,Under 500
WOODSON ISD,1,160,17106,2718082,Under 500
MOUNT PLEASANT ISD,9,5139,13656,66343249,"5,000 to 9,999"
CHAPEL HILL ISD,3,1042,13522,12615076,"1,000 to 1,599"
HARTS BLUFF ISD,2,804,16780,9745824,500 to 999
TEXAS LEADERSHIP PUBLIC SCHOOLS,4,3511,11157,31940280,"3,000 to 4,999"
CHRISTOVAL ISD,2,562,16119,7782435,500 to 999
SAN ANGELO ISD,23,13798,11700,139627164,"10,000 to 24,999"
WATER VALLEY ISD,6,350,19435,5307302,Under 500
WALL ISD,6,1283,13845,15946350,"1,000 to 1,599"
GRAPE CREEK ISD,6,1132,14846,15430748,"1,000 to 1,599"
VERIBEST ISD,4,277,14590,3493141,Under 500
UNIVERSITY OF TEXAS AT AUSTIN H S,1,666,,,500 to 999
WAYSIDE SCHOOLS,4,1643,11660,21531042,"1,600 to 2,999"
NYOS CHARTER SCHOOL,2,1422,12634,13577427,"1,000 to 1,599"
TEXAS EMPOWERMENT ACADEMY,2,392,16512,5828691,Under 500
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,21,532,19346,11956062,500 to 999
CHAPARRAL STAR ACADEMY,1,354,8932,3304662,Under 500
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,7,4224,11055,49912409,"3,000 to 4,999"
CEDARS INTERNATIONAL ACADEMY,2,496,13096,6495374,Under 500
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,1,302,13582,3938833,Under 500
KIPP TEXAS PUBLIC SCHOOLS,58,32318,12705,391413971,"25,000 to 49,999"
AUSTIN DISCOVERY SCHOOL,1,430,11231,4862920,Under 500
VALERE PUBLIC SCHOOLS,4,1018,12648,12774547,"1,000 to 1,599"
AUSTIN ACHIEVE PUBLIC SCHOOLS,4,2312,14293,31188265,"1,600 to 2,999"
MONTESSORI FOR ALL,1,470,12699,6082885,Under 500
THE EXCEL CENTER - FOR ADULTS,5,844,10141,7402803,500 to 999
VALOR PUBLIC SCHOOLS,2,1378,10601,11565701,"1,000 to 1,599"
AUSTIN ISD,123,71883,13965,881678532,"50,000 and over"
