DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
A,4335,96.3,100.0,96.0,86.0,54.0,98.0,87.0,59.0,100.0,78.4,0.0,0.0,0.0
B,542,97.0,100.0,84.0,60.0,25.0,79.0,45.0,21.0,71.9,21.7,0.0,0.0,0.0
B,1555,93.3,96.8,75.0,49.0,19.0,71.0,36.0,15.0,89.7,20.4,0.0,0.0,0.0
B,1272,93.2,96.6,72.0,46.0,19.0,70.0,39.0,18.0,90.8,5.1,0.0,0.0,0.0
A,684,97.4,100.0,83.0,59.0,28.0,87.0,57.0,24.0,80.0,35.0,0.0,0.0,0.0
B,347,99.3,,60.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,0.0
B,9638,96.1,95.1,83.0,61.0,30.0,80.0,50.0,23.0,46.0,53.6,0.0,0.0,0.0
A,27190,96.7,98.5,87.0,70.0,38.0,86.0,60.0,33.0,97.0,42.1,0.0,0.0,0.0
A,1303,95.8,100.0,79.0,52.0,22.0,80.0,47.0,22.0,60.5,28.8,0.0,0.0,0.0
A,740,95.9,93.9,85.0,62.0,27.0,86.0,51.0,22.0,57.8,19.2,0.0,0.0,0.0
A,145,96.3,100.0,73.0,52.0,20.0,86.0,52.0,24.0,57.1,-1.0,0.0,0.0,0.0
B,128,96.3,100.0,85.0,54.0,24.0,76.0,35.0,19.0,63.6,28.6,0.0,0.0,0.0
B,222,95.4,100.0,72.0,42.0,17.0,64.0,27.0,11.0,100.0,35.0,0.0,0.0,0.0
B,225,94.8,100.0,74.0,42.0,16.0,60.0,25.0,5.0,100.0,13.3,0.0,0.0,0.0
B,3138,93.5,94.1,62.0,37.0,13.0,68.0,31.0,12.0,67.2,16.5,0.0,0.0,0.0
A,523,97.8,100.0,93.0,79.0,42.0,92.0,72.0,40.0,90.9,55.0,0.0,0.0,0.0
B,941,96.3,100.0,71.0,45.0,18.0,67.0,32.0,15.0,65.5,15.8,0.0,0.0,0.0
A,3789,95.7,93.5,77.0,52.0,22.0,80.0,45.0,20.0,5.6,23.5,5.0,11.0,9.0
B,941,96.3,100.0,71.0,45.0,18.0,67.0,32.0,15.0,65.5,15.8,-5.0,-11.0,-9.0
A,3789,95.7,93.5,77.0,52.0,22.0,80.0,45.0,20.0,5.6,23.5,0.0,0.0,0.0
B,1140,96.1,98.7,77.0,55.0,25.0,81.0,49.0,23.0,93.4,42.3,0.0,0.0,0.0
B,493,97.3,100.0,86.0,62.0,28.0,88.0,55.0,28.0,50.0,35.7,0.0,0.0,0.0
A,482,97.7,100.0,92.0,73.0,39.0,91.0,67.0,37.0,44.2,36.8,0.0,0.0,0.0
A,56,96.7,,79.0,50.0,21.0,71.0,24.0,6.0,,,0.0,0.0,0.0
C,63,96.3,,89.0,50.0,24.0,79.0,29.0,8.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,213,86.5,85.7,69.0,42.0,11.0,53.0,20.0,4.0,32.0,37.5,0.0,0.0,0.0
B,2689,93.6,88.9,77.0,52.0,25.0,75.0,44.0,18.0,47.0,27.8,0.0,0.0,0.0
B,198,96.6,100.0,79.0,53.0,23.0,70.0,33.0,11.0,69.2,33.3,0.0,0.0,0.0
C,338,96.0,100.0,77.0,43.0,14.0,59.0,27.0,11.0,14.3,-1.0,0.0,0.0,0.0
B,8102,94.3,85.4,75.0,51.0,21.0,73.0,42.0,18.0,93.6,21.7,0.0,0.0,0.0
B,161,94.9,100.0,74.0,44.0,16.0,69.0,29.0,12.0,90.9,20.0,0.0,0.0,0.0
B,1151,94.9,95.5,74.0,48.0,22.0,69.0,38.0,18.0,66.2,7.0,0.0,0.0,0.0
A,729,95.3,100.0,81.0,55.0,21.0,79.0,46.0,25.0,48.9,13.6,0.0,0.0,0.0
B,329,95.5,100.0,68.0,40.0,15.0,54.0,20.0,7.0,42.3,18.2,0.0,0.0,0.0
B,237,92.6,94.1,63.0,28.0,12.0,58.0,19.0,5.0,52.9,0.0,0.0,0.0,0.0
B,484,93.4,96.9,54.0,28.0,9.0,46.0,17.0,6.0,25.0,0.0,0.0,0.0,0.0
B,360,87.4,95.7,70.0,40.0,15.0,52.0,20.0,8.0,86.4,0.0,0.0,0.0,0.0
B,1717,94.6,100.0,65.0,40.0,17.0,67.0,37.0,18.0,58.9,19.7,0.0,0.0,0.0
A,213,95.9,100.0,82.0,62.0,36.0,87.0,62.0,38.0,100.0,13.3,0.0,0.0,0.0
B,486,95.1,100.0,65.0,35.0,15.0,52.0,23.0,11.0,0.0,,0.0,0.0,0.0
B,22183,93.8,97.4,72.0,47.0,21.0,64.0,31.0,13.0,95.4,24.7,0.0,0.0,0.0
B,5037,68.4,13.1,36.0,14.0,0.0,64.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0
B,250,92.7,,73.0,54.0,38.0,75.0,32.0,18.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,1138,95.5,92.6,54.0,28.0,11.0,32.0,8.0,3.0,24.0,16.7,0.0,0.0,0.0
B,5558,95.2,99.3,73.0,47.0,19.0,65.0,30.0,12.0,98.4,12.2,0.0,0.0,0.0
A,2055,98.0,89.7,89.0,69.0,46.0,81.0,57.0,36.0,96.6,32.1,0.0,0.0,0.0
Not Rated: Senate Bill 1365,124,90.4,,60.0,35.0,15.0,55.0,20.0,5.0,,,0.0,0.0,0.0
C,245,93.5,,59.0,32.0,11.0,33.0,13.0,3.0,,,0.0,0.0,0.0
B,4211,95.3,,73.0,44.0,22.0,65.0,33.0,13.0,,,0.0,0.0,0.0
Not Rated,297,82.6,0.0,35.0,17.0,0.0,50.0,5.0,0.0,,,0.0,0.0,0.0
B,1067,85.1,,69.0,39.0,16.0,48.0,15.0,5.0,,,0.0,0.0,0.0
B,202,95.5,-1.0,73.0,46.0,23.0,72.0,32.0,10.0,-1.0,-1.0,0.0,0.0,0.0
B,535,94.1,,75.0,49.0,28.0,63.0,25.0,9.0,,,0.0,0.0,0.0
B,1068,75.5,35.9,55.0,28.0,3.0,60.0,16.0,4.0,14.1,14.0,0.0,0.0,0.0
C,1551,92.9,98.9,60.0,34.0,11.0,54.0,19.0,6.0,97.8,10.2,0.0,0.0,0.0
Not Rated: Senate Bill 1365,1271,91.2,94.0,60.0,31.0,10.0,52.0,15.0,5.0,15.0,16.7,0.0,0.0,0.0
B,654,96.1,97.7,71.0,43.0,14.0,58.0,21.0,4.0,28.6,0.0,0.0,0.0,0.0
C,501,94.8,,71.0,42.0,20.0,58.0,25.0,9.0,,,0.0,0.0,0.0
A,669,82.6,80.7,44.0,24.0,2.0,58.0,9.0,1.0,2.0,16.7,0.0,0.0,0.0
B,1557,96.2,,78.0,49.0,25.0,70.0,33.0,16.0,,,0.0,0.0,0.0
A,316,96.6,,82.0,53.0,30.0,78.0,30.0,8.0,,,0.0,0.0,0.0
B,985,95.7,,75.0,45.0,24.0,66.0,29.0,9.0,,,0.0,0.0,0.0
A,336,91.9,100.0,67.0,33.0,0.0,96.0,79.0,7.0,60.5,62.6,0.0,0.0,0.0
Not Rated: Senate Bill 1365,1256,94.9,,58.0,28.0,12.0,43.0,16.0,4.0,,,0.0,0.0,0.0
B,541,95.5,90.5,74.0,46.0,22.0,59.0,31.0,13.0,90.5,47.4,0.0,0.0,0.0
A,1365,98.1,100.0,90.0,68.0,37.0,81.0,42.0,18.0,86.2,46.0,0.0,0.0,0.0
B,1464,96.9,98.5,65.0,36.0,14.0,55.0,23.0,8.0,85.9,9.1,0.0,0.0,0.0
C,1232,96.3,97.8,73.0,43.0,14.0,53.0,18.0,4.0,100.0,18.8,0.0,0.0,0.0
B,20535,94.7,98.4,69.0,44.0,20.0,57.0,25.0,10.0,100.0,25.3,0.0,0.0,0.0
B,2226,98.2,,85.0,59.0,28.0,70.0,31.0,11.0,42.9,44.4,0.0,0.0,0.0
B,96,90.1,,48.0,33.0,10.0,62.0,24.0,5.0,,,0.0,0.0,0.0
B,24888,97.3,93.7,71.0,47.0,21.0,71.0,41.0,18.0,93.4,29.8,0.0,0.0,0.0
C,7112,96.0,89.6,66.0,41.0,16.0,56.0,23.0,9.0,93.2,14.3,0.0,0.0,0.0
B,143430,92.3,81.1,66.0,43.0,19.0,68.0,39.0,18.0,99.6,17.2,0.0,0.0,0.0
B,7339,97.1,90.6,66.0,40.0,14.0,54.0,24.0,9.0,90.1,12.9,0.0,0.0,0.0
B,11944,93.4,94.0,66.0,41.0,14.0,60.0,27.0,10.0,41.2,17.2,0.0,0.0,0.0
B,52960,95.7,95.2,72.0,49.0,22.0,70.0,38.0,16.0,92.3,26.6,0.0,0.0,0.0
B,27284,95.0,90.7,68.0,45.0,19.0,67.0,36.0,16.0,85.2,19.0,0.0,0.0,0.0
A,6666,98.3,99.3,97.0,86.0,53.0,96.0,78.0,48.0,89.7,88.3,0.0,0.0,0.0
A,826,93.9,98.3,84.0,57.0,24.0,79.0,45.0,19.0,43.9,32.0,-29.0,-30.0,-14.0
A,6666,98.3,99.3,97.0,86.0,53.0,96.0,78.0,48.0,89.7,88.3,29.0,30.0,14.0
A,826,93.9,98.3,84.0,57.0,24.0,79.0,45.0,19.0,43.9,32.0,0.0,0.0,0.0
B,32339,96.1,94.7,63.0,38.0,14.0,61.0,27.0,10.0,92.7,15.1,0.0,0.0,0.0
B,6978,97.4,99.2,70.0,42.0,16.0,63.0,29.0,11.0,88.5,5.1,0.0,0.0,0.0
B,38311,95.4,93.5,68.0,43.0,17.0,71.0,39.0,17.0,85.2,20.2,0.0,0.0,0.0
B,37358,95.3,92.6,74.0,54.0,28.0,71.0,43.0,22.0,76.6,34.9,0.0,0.0,0.0
A,2104,97.2,98.7,91.0,73.0,40.0,86.0,57.0,26.0,70.5,59.2,0.0,0.0,0.0
A,13107,98.6,99.6,92.0,80.0,52.0,92.0,75.0,52.0,86.3,80.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,149,94.6,-1.0,71.0,33.0,16.0,39.0,8.0,1.0,-1.0,20.0,0.0,0.0,0.0
B,525,95.7,100.0,72.0,46.0,17.0,72.0,37.0,15.0,40.0,18.8,6.0,18.0,14.0
Not Rated: Senate Bill 1365,149,94.6,-1.0,71.0,33.0,16.0,39.0,8.0,1.0,-1.0,20.0,-6.0,-18.0,-14.0
B,525,95.7,100.0,72.0,46.0,17.0,72.0,37.0,15.0,40.0,18.8,0.0,0.0,0.0
A,259,97.2,100.0,97.0,80.0,53.0,96.0,83.0,51.0,100.0,45.5,0.0,0.0,0.0
B,1602,92.6,100.0,56.0,31.0,11.0,49.0,19.0,7.0,24.8,21.9,0.0,0.0,0.0
A,246,96.1,100.0,93.0,62.0,22.0,87.0,57.0,28.0,68.4,38.5,0.0,0.0,0.0
C,3953,93.2,93.2,70.0,41.0,15.0,70.0,34.0,14.0,32.8,12.9,0.0,0.0,0.0
A,152,96.4,,91.0,63.0,31.0,96.0,65.0,24.0,,,0.0,0.0,0.0
B,847,95.7,92.5,72.0,49.0,19.0,68.0,35.0,13.0,95.3,9.8,0.0,0.0,0.0
B,148,94.1,92.3,57.0,30.0,11.0,44.0,16.0,4.0,76.9,10.0,0.0,0.0,0.0
C,695,96.1,,68.0,38.0,22.0,60.0,30.0,14.0,,,0.0,0.0,0.0
B,1344,98.3,,87.0,65.0,35.0,76.0,39.0,18.0,66.7,54.3,0.0,0.0,0.0
B,553,96.8,,88.0,69.0,43.0,83.0,54.0,29.0,,,0.0,0.0,0.0
B,31771,97.0,97.6,76.0,54.0,25.0,68.0,37.0,17.0,93.1,32.6,0.0,0.0,0.0
B,49113,96.0,96.6,84.0,66.0,37.0,79.0,52.0,28.0,70.5,59.0,0.0,0.0,0.0
B,1430,94.9,96.4,75.0,52.0,23.0,72.0,35.0,13.0,56.5,37.7,0.0,0.0,0.0
B,2217,96.4,98.1,75.0,54.0,25.0,75.0,41.0,18.0,75.0,36.7,0.0,0.0,0.0
B,1574,95.5,98.9,79.0,55.0,25.0,83.0,50.0,23.0,76.1,32.9,0.0,0.0,0.0
B,3101,96.0,97.6,81.0,58.0,28.0,77.0,46.0,20.0,61.3,35.9,0.0,0.0,0.0
B,2746,95.2,95.8,82.0,59.0,27.0,79.0,43.0,17.0,62.6,23.5,0.0,0.0,0.0
A,4314,96.9,100.0,93.0,78.0,44.0,93.0,73.0,44.0,71.0,66.1,0.0,0.0,0.0
B,27479,96.4,97.0,83.0,63.0,32.0,79.0,49.0,23.0,87.2,47.4,0.0,0.0,0.0
B,3999,96.0,98.5,76.0,52.0,22.0,71.0,34.0,13.0,51.0,44.7,0.0,0.0,0.0
C,8245,97.2,93.8,73.0,49.0,23.0,67.0,33.0,14.0,98.5,23.1,0.0,0.0,0.0
A,1920,93.6,99.3,74.0,50.0,20.0,73.0,40.0,16.0,33.1,24.5,0.0,0.0,0.0
B,148,96.7,100.0,75.0,55.0,33.0,77.0,44.0,23.0,11.1,-1.0,0.0,0.0,0.0
B,1496,94.4,99.2,77.0,53.0,22.0,84.0,52.0,25.0,21.5,30.8,0.0,0.0,0.0
C,535,94.5,100.0,67.0,39.0,15.0,65.0,30.0,10.0,87.1,18.5,0.0,0.0,0.0
A,71,98.4,,94.0,79.0,47.0,88.0,68.0,32.0,,,0.0,0.0,0.0
A,144,97.2,,93.0,70.0,51.0,93.0,60.0,30.0,,,0.0,0.0,0.0
B,221,94.6,100.0,79.0,62.0,31.0,76.0,42.0,20.0,85.0,17.6,0.0,0.0,0.0
A,86,96.2,-1.0,79.0,57.0,23.0,85.0,55.0,25.0,-1.0,-1.0,0.0,0.0,0.0
B,1920,91.1,94.6,65.0,41.0,15.0,64.0,31.0,11.0,27.9,31.6,0.0,0.0,0.0
B,456,94.3,91.3,83.0,62.0,31.0,83.0,54.0,25.0,100.0,19.0,0.0,0.0,0.0
A,124,96.5,100.0,86.0,59.0,28.0,81.0,60.0,24.0,100.0,8.3,0.0,0.0,0.0
C,26,93.8,,57.0,36.0,21.0,50.0,29.0,14.0,,,0.0,0.0,0.0
C,233,90.9,96.8,74.0,50.0,16.0,49.0,18.0,4.0,48.0,8.3,0.0,0.0,0.0
B,1453,90.3,88.2,65.0,40.0,15.0,66.0,36.0,15.0,85.0,5.9,0.0,0.0,0.0
B,760,95.7,89.1,69.0,42.0,14.0,67.0,30.0,10.0,44.0,18.2,0.0,0.0,0.0
B,812,96.5,100.0,90.0,68.0,36.0,86.0,52.0,27.0,71.9,12.2,0.0,0.0,0.0
B,1078,96.3,99.0,81.0,56.0,23.0,77.0,39.0,14.0,48.4,39.1,0.0,0.0,0.0
B,265,96.0,100.0,74.0,52.0,24.0,70.0,40.0,15.0,92.3,0.0,0.0,0.0,0.0
C,333,88.5,95.5,62.0,36.0,10.0,55.0,23.0,6.0,4.8,-1.0,0.0,0.0,0.0
B,191,94.7,93.3,66.0,40.0,19.0,55.0,25.0,9.0,53.3,37.5,0.0,0.0,0.0
C,1371,95.9,,83.0,56.0,28.0,76.0,40.0,15.0,,,0.0,0.0,0.0
B,763,97.1,,87.0,59.0,28.0,77.0,40.0,18.0,61.7,34.5,0.0,0.0,0.0
B,31762,92.4,85.5,61.0,36.0,15.0,61.0,30.0,12.0,69.4,16.4,0.0,0.0,0.0
B,257,95.2,96.2,62.0,40.0,13.0,55.0,17.0,6.0,100.0,12.5,0.0,0.0,0.0
A,254,95.8,90.0,86.0,64.0,28.0,70.0,40.0,18.0,90.0,0.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,2582,95.4,96.5,46.0,23.0,8.0,44.0,15.0,5.0,97.1,2.3,0.0,0.0,0.0
B,339,98.1,100.0,69.0,40.0,14.0,65.0,29.0,6.0,68.8,27.3,0.0,0.0,0.0
B,5999,93.3,94.0,71.0,45.0,20.0,73.0,41.0,18.0,32.4,33.1,0.0,0.0,0.0
B,2625,94.0,94.9,72.0,45.0,17.0,73.0,34.0,13.0,44.1,8.0,0.0,0.0,0.0
C,647,94.2,88.6,68.0,44.0,17.0,66.0,31.0,10.0,76.9,20.0,0.0,0.0,0.0
B,10391,96.6,95.0,81.0,57.0,26.0,82.0,52.0,25.0,75.5,36.8,0.0,0.0,0.0
B,238,95.7,100.0,73.0,35.0,17.0,48.0,22.0,10.0,31.8,14.3,0.0,0.0,0.0
A,1252,95.7,97.5,84.0,60.0,31.0,85.0,57.0,23.0,70.9,39.3,0.0,0.0,0.0
B,6287,96.6,91.7,74.0,48.0,21.0,71.0,43.0,19.0,80.5,21.0,0.0,0.0,0.0
B,10065,94.6,95.7,78.0,54.0,24.0,73.0,41.0,17.0,53.6,42.9,0.0,0.0,0.0
B,1176,95.1,94.7,76.0,53.0,23.0,77.0,44.0,14.0,69.2,50.8,0.0,0.0,0.0
A,1376,94.8,89.7,80.0,56.0,24.0,80.0,48.0,24.0,66.7,20.8,0.0,0.0,0.0
A,198,88.8,83.0,70.0,53.0,5.0,100.0,59.0,18.0,7.5,16.7,0.0,0.0,0.0
A,272,75.9,60.0,72.0,49.0,4.0,91.0,43.0,19.0,0.0,,0.0,0.0,0.0
A,4569,97.8,98.3,80.0,56.0,27.0,78.0,46.0,21.0,44.9,67.9,0.0,0.0,0.0
A,190,91.5,,66.0,40.0,29.0,79.0,50.0,23.0,,,0.0,0.0,0.0
B,340,97.9,,78.0,56.0,35.0,69.0,34.0,18.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,266,94.2,,59.0,26.0,12.0,57.0,16.0,4.0,,,0.0,0.0,0.0
B,10455,97.7,93.7,65.0,38.0,14.0,64.0,29.0,11.0,36.8,16.4,0.0,0.0,0.0
B,50709,94.8,84.3,72.0,49.0,21.0,71.0,38.0,17.0,100.0,22.8,0.0,0.0,0.0
B,1983,97.6,83.9,60.0,32.0,11.0,68.0,32.0,12.0,42.7,9.4,0.0,0.0,0.0
B,3190,95.4,86.3,62.0,38.0,12.0,64.0,28.0,9.0,28.4,17.5,0.0,0.0,0.0
A,37211,96.8,88.0,75.0,51.0,22.0,77.0,44.0,21.0,92.1,14.4,0.0,0.0,0.0
A,798,93.1,87.8,76.0,47.0,19.0,78.0,38.0,13.0,100.0,4.2,0.0,0.0,0.0
A,6076,97.9,94.5,75.0,52.0,23.0,73.0,40.0,18.0,79.1,13.6,0.0,0.0,0.0
B,887,93.7,88.1,61.0,34.0,11.0,58.0,22.0,7.0,53.9,12.2,0.0,0.0,0.0
B,47137,97.9,91.3,77.0,52.0,22.0,75.0,39.0,16.0,96.8,17.5,0.0,0.0,0.0
Not Rated: Data Under Review,6822,86.8,54.0,66.0,47.0,5.0,53.0,19.0,8.0,14.8,12.9,0.0,0.0,0.0
B,94,86.1,68.9,84.0,52.0,3.0,91.0,27.0,0.0,0.0,,0.0,0.0,0.0
C,236,94.5,,67.0,33.0,11.0,58.0,19.0,6.0,15.4,-1.0,0.0,0.0,0.0
A,1087,95.3,100.0,89.0,67.0,32.0,90.0,59.0,29.0,63.2,39.5,0.0,0.0,0.0
A,3688,95.0,95.7,81.0,59.0,30.0,81.0,52.0,29.0,54.2,44.3,0.0,0.0,0.0
C,227,96.6,100.0,87.0,63.0,27.0,80.0,41.0,16.0,11.8,-1.0,0.0,0.0,0.0
A,304,96.8,90.9,90.0,70.0,30.0,88.0,54.0,26.0,66.7,33.3,0.0,0.0,0.0
A,284,95.9,100.0,88.0,65.0,22.0,83.0,48.0,24.0,21.1,-1.0,0.0,0.0,0.0
B,118,97.3,,91.0,67.0,33.0,78.0,38.0,16.0,,,0.0,0.0,0.0
A,546,95.9,97.4,85.0,51.0,23.0,72.0,31.0,9.0,85.7,10.0,0.0,0.0,0.0
B,882,91.5,97.8,55.0,29.0,13.0,56.0,27.0,11.0,25.0,18.2,0.0,0.0,0.0
A,155,97.7,,93.0,74.0,47.0,97.0,73.0,45.0,,,0.0,0.0,0.0
B,716,95.2,96.2,72.0,49.0,18.0,66.0,32.0,15.0,42.9,14.3,0.0,0.0,0.0
C,1885,94.8,93.9,73.0,47.0,19.0,69.0,35.0,14.0,54.2,37.9,0.0,0.0,0.0
A,328,97.5,100.0,85.0,62.0,31.0,80.0,48.0,20.0,79.2,15.8,0.0,0.0,0.0
C,234,94.5,100.0,60.0,37.0,10.0,67.0,25.0,8.0,81.0,41.2,0.0,0.0,0.0
A,640,95.7,100.0,81.0,59.0,29.0,86.0,55.0,29.0,47.6,45.0,0.0,0.0,0.0
B,825,94.9,98.5,77.0,51.0,22.0,79.0,35.0,13.0,60.0,16.7,0.0,0.0,0.0
B,303,96.0,100.0,87.0,63.0,34.0,76.0,38.0,20.0,42.1,25.0,0.0,0.0,0.0
B,725,95.7,98.0,80.0,54.0,19.0,73.0,35.0,11.0,72.0,19.4,0.0,0.0,0.0
A,517,95.6,100.0,86.0,67.0,28.0,82.0,47.0,24.0,40.7,45.5,0.0,0.0,0.0
A,629,95.4,97.5,92.0,72.0,34.0,96.0,75.0,42.0,87.9,55.2,0.0,0.0,0.0
B,1868,95.3,97.5,77.0,51.0,23.0,76.0,42.0,14.0,66.5,42.7,0.0,0.0,0.0
B,696,96.6,95.9,75.0,50.0,17.0,75.0,42.0,16.0,51.1,58.3,0.0,0.0,0.0
A,279,96.3,100.0,90.0,67.0,29.0,83.0,48.0,20.0,0.0,,0.0,0.0,0.0
A,240,96.8,100.0,88.0,72.0,42.0,93.0,71.0,39.0,68.4,38.5,0.0,0.0,0.0
B,329,97.3,100.0,71.0,48.0,20.0,57.0,28.0,13.0,94.1,12.5,0.0,0.0,0.0
A,242,96.1,100.0,86.0,58.0,21.0,88.0,57.0,24.0,100.0,33.3,0.0,0.0,0.0
B,686,94.7,97.9,73.0,43.0,16.0,73.0,41.0,20.0,50.0,26.1,0.0,0.0,0.0
B,430,94.9,91.4,67.0,38.0,13.0,66.0,30.0,10.0,84.8,3.6,0.0,0.0,0.0
B,192,94.8,100.0,81.0,48.0,23.0,70.0,34.0,14.0,91.7,9.1,0.0,0.0,0.0
A,38877,96.9,94.4,83.0,64.0,34.0,82.0,55.0,29.0,94.1,34.9,0.0,0.0,0.0
A,3378,96.2,98.4,88.0,67.0,33.0,90.0,61.0,31.0,74.1,32.3,0.0,0.0,0.0
B,76543,96.3,94.7,81.0,62.0,34.0,76.0,50.0,28.0,79.8,52.9,0.0,0.0,0.0
B,3511,94.2,95.5,70.0,47.0,21.0,69.0,33.0,15.0,96.2,12.3,0.0,0.0,0.0
A,1523,94.7,95.8,82.0,54.0,26.0,82.0,50.0,23.0,70.2,21.2,0.0,0.0,0.0
B,1681,95.3,89.4,76.0,52.0,24.0,71.0,38.0,17.0,65.7,28.4,0.0,0.0,0.0
A,1181,94.1,97.3,81.0,53.0,20.0,80.0,47.0,20.0,23.5,29.6,0.0,0.0,0.0
B,520,95.1,100.0,71.0,41.0,18.0,67.0,29.0,11.0,8.6,-1.0,0.0,0.0,0.0
B,133,96.5,,91.0,66.0,39.0,79.0,51.0,16.0,,,0.0,0.0,0.0
B,907,90.4,96.9,62.0,38.0,14.0,58.0,21.0,8.0,57.4,14.3,0.0,0.0,0.0
B,2031,95.1,97.2,58.0,33.0,11.0,43.0,16.0,6.0,19.6,3.3,0.0,0.0,0.0
B,516,94.3,97.0,61.0,30.0,10.0,55.0,25.0,11.0,56.7,5.9,0.0,0.0,0.0
A,150,95.9,100.0,86.0,64.0,31.0,82.0,49.0,26.0,66.7,-1.0,0.0,0.0,0.0
A,2957,93.8,95.2,75.0,51.0,25.0,81.0,53.0,30.0,37.4,38.9,0.0,0.0,0.0
B,1492,96.4,100.0,67.0,41.0,19.0,53.0,20.0,9.0,80.0,33.3,0.0,0.0,0.0
A,189,96.9,,85.0,55.0,28.0,74.0,37.0,12.0,,,0.0,0.0,0.0
B,11901,93.0,92.8,71.0,45.0,19.0,72.0,39.0,16.0,40.7,24.1,0.0,0.0,0.0
B,6650,92.6,84.9,70.0,48.0,21.0,65.0,33.0,17.0,22.9,47.5,0.0,0.0,0.0
A,158,92.2,100.0,85.0,56.0,18.0,86.0,46.0,19.0,100.0,17.6,0.0,0.0,0.0
B,7756,91.9,84.5,64.0,39.0,16.0,62.0,31.0,14.0,24.6,20.3,0.0,0.0,0.0
B,1715,92.1,97.5,65.0,38.0,15.0,59.0,27.0,12.0,53.2,9.5,0.0,0.0,0.0
B,4325,95.2,92.6,75.0,51.0,24.0,72.0,40.0,18.0,29.7,33.3,0.0,0.0,0.0
B,40235,95.7,97.5,83.0,64.0,34.0,81.0,52.0,26.0,90.2,46.9,0.0,0.0,0.0
A,6155,96.2,99.6,92.0,77.0,43.0,93.0,72.0,41.0,77.6,67.8,0.0,0.0,0.0
B,784,94.4,92.8,72.0,41.0,14.0,69.0,35.0,14.0,35.9,21.7,0.0,0.0,0.0
C,114,96.3,100.0,68.0,48.0,19.0,57.0,24.0,12.0,100.0,0.0,0.0,0.0,0.0
B,24,95.2,,100.0,50.0,25.0,100.0,75.0,38.0,,,0.0,0.0,0.0
C,3100,94.2,96.9,74.0,53.0,24.0,71.0,42.0,19.0,47.6,40.7,0.0,0.0,0.0
A,559,96.8,95.5,81.0,58.0,26.0,84.0,51.0,27.0,82.5,21.2,0.0,0.0,0.0
A,293,98.1,100.0,92.0,78.0,40.0,94.0,71.0,42.0,100.0,30.4,0.0,0.0,0.0
B,1283,94.7,97.8,74.0,50.0,23.0,71.0,36.0,14.0,57.8,42.3,0.0,0.0,0.0
B,2613,92.4,91.6,64.0,38.0,15.0,62.0,31.0,12.0,34.8,23.1,0.0,0.0,0.0
B,1064,94.6,100.0,78.0,54.0,25.0,72.0,43.0,19.0,39.2,20.7,0.0,0.0,0.0
B,304,92.9,93.3,64.0,43.0,17.0,57.0,19.0,6.0,66.7,0.0,0.0,0.0,0.0
C,176,96.6,100.0,67.0,33.0,16.0,66.0,30.0,16.0,100.0,20.0,0.0,0.0,0.0
A,185,95.7,100.0,77.0,47.0,17.0,82.0,48.0,23.0,50.0,20.0,0.0,0.0,0.0
B,3451,91.4,91.0,67.0,42.0,18.0,68.0,36.0,16.0,49.6,21.9,0.0,0.0,0.0
B,46,96.7,,95.0,60.0,30.0,75.0,45.0,20.0,,,0.0,0.0,0.0
A,884,96.7,100.0,86.0,65.0,35.0,90.0,64.0,33.0,79.1,41.5,0.0,0.0,0.0
C,556,96.2,100.0,73.0,46.0,17.0,71.0,34.0,10.0,90.4,14.9,0.0,0.0,0.0
C,4674,92.9,92.9,77.0,52.0,24.0,76.0,44.0,20.0,36.0,35.9,0.0,0.0,0.0
A,1248,94.4,100.0,84.0,62.0,28.0,82.0,51.0,21.0,63.9,41.3,0.0,0.0,0.0
C,7698,93.4,94.1,67.0,43.0,16.0,61.0,29.0,12.0,69.8,25.7,0.0,0.0,0.0
B,706,96.1,97.5,85.0,61.0,26.0,83.0,48.0,22.0,47.5,26.3,0.0,0.0,0.0
